LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B24F0003	99277	491408	Rijksdriehoeksmeting	24F		6.2		24FA3003		31			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	Ca (mg/l)	Cl- (mg/l)	EC (mS/m)	EC (uS/cm)	Fe (mg/l)	HCO3 (mg/l)	K (mg/l)	KLEUR (mgPt/l)	KMNO4V-O (mg/l)	Mg (mg/l)	Mn (mg/l)	NH4 (mg/l)	NH4-ORG (mg/l)	NO2 (mg/l)	NO3 (mg/l)	Na (mg/l)	NaHCO3 (mg/l)	O-PO4 (mg/l)	SO4 (mg/l)	SiO2 (mg/l)	TEMP-V (C)	TOTH (mmol/l)	pH (-)	
B24F0003		C1911-07-1009		nee	2050.0	2150.0	15-07-1911	79.7	37.8		45.98	.9			0	.95	6.9	.2	.15	0	0	0				28.7	24.4	18	2.311		
B24F0003		C1981-01-1003		nee	12610.0	12710.0	01-01-1981		3239																						
B24F0003		C1981-01-1002		nee	11600.0	11700.0	01-01-1981		107																						
B24F0003		C1981-01-1001		nee	7050.0	7150.0	01-01-1981		39																						
B24F0003		C1911-07-1011		nee	3050.0	3150.0	19-07-1911	63.6	32.1		43.46	.13			9	3.5	4.4	.06	1.5	.28	0	0		3.6		7.4	40.6	18	1.8		
B24F0003	27-09-1983	C1983-09-1171		nee	70500.0	71500.0	27-09-1983	87	42	52		.7	266	3.2			7.6	.11	.35			.01	24		.12	19		20	2.483	7.9	
B24F0003	27-09-1983	C1983-09-1170		nee	30500.0	31500.0	27-09-1983	74	39	46		.9	186	2.1			6.3	.11	.12			.02	19		.04	40		20	2.105	7.9	
B24F0003	27-09-1983	C1983-09-1172		nee	116000.0	117000.0	27-09-1983	71	116	70		1.7	252	9.7			19.2	.08	.44			.01	54		.11	3		20	2.561	8.2	
B24F0003	27-09-1983	C1983-09-1169		nee	8680.0	9680.0	27-09-1983	160	329	132		2.4	159	4.1			15	.03	.1			4.1	90		.02	54		20	4.609	7.7	
B24F0003	12-04-1983	C1983-04-1033		nee	30500.0	31500.0	12-04-1983		41																						
B24F0003	12-04-1983	C1983-04-1032		nee	8680.0	9680.0	12-04-1983		38																						
B24F0003	12-04-1983	C1983-04-1035		nee	116000.0	117000.0	12-04-1983		121																						
B24F0003	12-04-1983	C1983-04-1034		nee	70500.0	71500.0	12-04-1983		41																						
B24F0003	20-10-1911	C1911-10-1022		nee		147000.0	20-10-1911		16234																			0			
B24F0003	18-10-1911	C1911-10-1020		nee		145000.0	18-10-1911		16446																			0			
B24F0003	14-10-1911	C1911-10-1016		nee		143000.0	14-10-1911		16446																			0			
B24F0003	12-10-1911	C1911-10-1013		nee		141300.0	12-10-1911		15952																			0			
B24F0003	04-10-1911	C1911-10-1004		nee		139000.0	04-10-1911		13966																			0			
B24F0003	29-09-1911	C1911-09-1037		nee		137000.0	29-09-1911		7800																			0			
B24F0003	28-09-1911	C1911-09-1029		nee	50400.0	51400.0	28-09-1911	60.7	32.5		42.94	.79			5	2.8	5.4	.22	.29	.09	0	0		54.4		4.9	29.6	18	1.766		
B24F0003	25-09-1911	C1911-09-1021		nee	131400.0	132400.0	25-09-1911	76.3	35.2		43.25	.31			10	1.27	8	.19	.27	.14	0	0		0		9.5	25.6	18	2.272		
B24F0003	21-09-1911	C1911-09-1018		nee	126100.0	127100.0	21-09-1911	69.3	27.6		38.65	1.1			10	1.58	6.8	.06	.16	.14	0	0		0		9.8	22.4	18	2.041		
B24F0003	19-09-1911	C1911-09-1013		nee	131400.0	132400.0	19-09-1911	60.9	27.6		38.96	.83			14	1.27	9	.07	.31	.08	0	0		0		8	17.8	18	1.922		
B24F0003	16-09-1911	C1911-09-1008		nee	116000.0	117000.0	16-09-1911	56.2	26.3		39.48	.13			18	2.2	15.1	.08	.29	.06	0	0		0		11.2	21.8	18	2.057		
B24F0003	09-09-1911	C1911-09-1005		nee	107800.0	108800.0	09-09-1911	35.3	20.1		43.88	.61			19	10.7	30.2	.06	.33	.32	0	0		0		8.5	24.8	18	2.164		
B24F0003	17-08-1911	C1911-08-1022		nee	90500.0	91500.0	17-08-1911	67.9	30.7		42.94	.38			13	3.8	12.4	0	.1	.28	0	0		0		4.2	22.6	18	2.241		
B24F0003	07-08-1911	C1911-08-1009		nee	80100.0	81100.0	07-08-1911	70.7	29		41.58	.43			7	1.6	5.8	.09	.14	.07	0	0		0		11.9	32	18	2.041		
B24F0003	03-08-1911	C1911-08-1005		nee	70500.0	71500.0	03-08-1911	74.6	31.3		42.84	.39			8	.6	5.9	.13	.2	.07	0	0				8.6	29.6	18	2.14		
B24F0003	01-08-1911	C1911-08-1001		nee	60300.0	61300.0	01-08-1911	77.7	31.6		42.42	.51			7	2.5	6.4	.25	.18	.06	0	0				8.6	41.2	18	2.237		
B24F0003	22-07-1911	C1911-07-1014		nee	40500.0	41500.0	22-07-1911	87.6	37.8		52.68	.15			0	.6	7.5	0	.4	.05	0	0				12.1	35	18	2.536		
B24F0003	12-07-1911	C1911-07-1007		nee	8680.0	9680.0	12-07-1911	67.8	32.9		38.75	.19			2	.63	6.1	0	.02	.12	0	7.6				17.4	9.8	18	1.973		
