LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B25A0235	102568	497434	Rijksdriehoeksmeting	25A	Geschat, detailkaart 1:2500	7.28		25AP0235		20			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	CO2 (mg/l)	Ca (mg/l)	Cl- (mg/l)	Fe (mg/l)	HCO3 (mg/l)	KLEUR (mgPt/l)	KMNO4V-G (mg/l)	KMNO4V-O (mg/l)	Mg (mg/l)	Mn (mg/l)	NH4 (mg/l)	NH4-ORG (mg/l)	SO4 (mg/l)	SiO2 (mg/l)	TEMP-V (C)	TOTH (mmol/l)	
B25A0235	05-03-1912	C1912-03-1005		nee	42630.0	43630.0	05-03-1912	43.9	92	36.6	10.2		7.2	8.06	13.3	5	.49	2.2	.11	0	28.4	0	2.542	
B25A0235	05-03-1912	C1912-03-1007		nee	84900.0	85900.0	05-03-1912	39.7	80.4	28.2	9		7	5.84	11.4	4.2	1.04	1.1	.18	0	31.6	0	2.214	
B25A0235	05-03-1912	C1912-03-1006		nee	68400.0	69400.0	05-03-1912	38	84.1	33.1	7.2		7	5.53	10.6	4.7	1.35	1.4	.12	0	35.2	0	2.327	
B25A0235	21-02-1912	C1912-02-1020		nee	42630.0	43630.0	21-02-1912		94.8	36.2	7.1		7.8	8.06	14.5	5.9	.22	1.9	.16	0	30.8	0	2.659	
B25A0235	21-02-1912	C1912-02-1022		nee	84900.0	85900.0	21-02-1912	38.5	81.8	27.4	9.3		10	6.32	13	3.9	.34	1.4	.15	0	32	0	2.237	
B25A0235	21-02-1912	C1912-02-1021		nee	68400.0	69400.0	21-02-1912	35	83.2	331	7.3		8	7.9	13.7	4.6	.74	1.1	.16	0	34	0	2.3	
B25A0235	27-12-1911	C1911-12-1024		nee	134700.0	135700.0	27-12-1911	7.7	501.3	11289	5.2	508.8	20	98		535.8		21.6	8		14.8	0	35.262	
B25A0235	26-12-1911	C1911-12-1020		nee	84900.0	85900.0	26-12-1911	18.7	77.4	39	4.9		15	10.6	19.8	.6	.03	1.5	.03		30.8	0	2.05	
B25A0235	15-12-1911	C1911-12-1016		nee		89420.0	15-12-1911	117.5	84.1	43.8	5.4			11.7	18.6	4.2	0	1.4	.19	11.5	20	0	2.308	
B25A0235	11-12-1911	C1911-12-1012		nee		100010.0	11-12-1911	51.8	31.9	51.2	13.6			7.43	24	4.3	0	1.8	.16	15.8	34.6	0	.992	
B25A0235	29-11-1911	C1911-11-1018		nee		137010.0	29-11-1911	186.6	389.1	11490	8			19.6	26.9	732.6	0	24.4	.26	1286.4	33	0	40.626	
B25A0235	22-11-1911	C1911-11-1009		nee		131040.0	22-11-1911	230.2	134.2	3218.9	3.4			16.1		208.2	0	16.1	.28	240.1	16	0	12.146	
B25A0235	08-11-1911	C1911-11-1003		nee		122340.0	08-11-1911	159.5	55.2	33.5	.8		9.5	9.6	13.6	38.9		2.6	.17	0	1	0	3.035	
B25A0235	24-10-1911	C1911-10-1026		nee		107520.0	24-10-1911			35.8	1.8		10.5	11.2								0	2.844	
B25A0235	14-10-1911	C1911-10-1017		nee		86400.0	14-10-1911			27.8	9.3			6.32								0	2.178	
B25A0235	11-10-1911	C1911-10-1012		nee		80360.0	11-10-1911			28.7	7.1		6.5	5.94								0	2.088	
B25A0235	07-10-1911	C1911-10-1008		nee		69540.0	07-10-1911	147.2	79.1	31.3	8.2		6	8.22	11.4	3.6	0	1.8	.27	0	33.8	0	2.155	
B25A0235	04-10-1911	C1911-10-1005		nee		59500.0	04-10-1911			33.1	8.1		5	6.16								0	2.142	
B25A0235	28-09-1911	C1911-09-1031		nee		40100.0	28-09-1911	156.8	96.4	37.6	8.8		9	19.3	19.1	6.4	0	2.5	.25	0	32.2	0	2.714	
B25A0235	18-09-1911	C1911-09-1011		nee		17000.0	18-09-1911	14	118.6	77.9			13.5	16.6		7.6	0	1.9	.38	12.7	15.4	0	3.312	
