LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B25A0237	102551	497492	Rijksdriehoeksmeting	25A	Geschat, detailkaart 1:500	6.99		25AA3237		14			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	CO2 (mg/l)	Ca (mg/l)	Cl- (mg/l)	Fe (mg/l)	KLEUR (mgPt/l)	KMNO4V-G (mg/l)	KMNO4V-O (mg/l)	Mg (mg/l)	Mn (mg/l)	NH4 (mg/l)	NH4-ORG (mg/l)	NO2 (mg/l)	SO4 (mg/l)	SiO2 (mg/l)	TEMP-V (C)	TOTH (mmol/l)	
B25A0237	24-01-1913	C1913-01-1125		nee		22500.0	24-01-1913	42.7		46.6	2.7	11	12									0	2.88	
B25A0237	07-12-1912	C1912-12-1015		nee		40800.0	07-12-1912	28.1	99.4	16	5.8	15	11		4.5	.4	5.7				42.8	0	2.709	
B25A0237	24-04-1912	C1912-04-1021		nee	105990.0	106990.0	24-04-1912		191.4	1489	.8	7	19	23.5	1		9	.49		370.4	19.2	0	4.892	
B25A0237	24-04-1912	C1912-04-1019		nee	71030.0	72030.0	24-04-1912	30.4	81.2	55.5	5.2	11.6	9.2	16.2	4	.43	2.4	.13		10.2	37.6	0	2.225	
B25A0237	24-04-1912	C1912-04-1018		nee	41350.0	42350.0	24-04-1912	51	97.1	65.8	5.8	10.5	11.1	16.3	7.6	.62	2.9	.17		82.7	31.6	0	2.783	
B25A0237	24-04-1912	C1912-04-1020		nee	82400.0	83400.0	24-04-1912	37.7	83.5	9.8	5.3	11	9.8	14.5	4.1	.51	2.4	.17	38.8	11.5	41.2	0	2.288	
B25A0237	23-03-1912	C1912-03-1020		nee		134600.0	23-03-1912	9	312.4	10650	3.5	20	13.9		600		20.3			1191	160	0	33.12	
B25A0237	18-03-1912	C1912-03-1017		nee		128550.0	18-03-1912	6	71	1230	2	15	10.4		84		16.3			14.4	10	0	5.328	
B25A0237	12-03-1912	C1912-03-1011		nee		119660.0	12-03-1912	5.3	55.3	36	1.6	20	9.2		27.8		2.4				28	0	2.574	
B25A0237	06-03-1912	C1912-03-1008		nee		107420.0	06-03-1912			36.2	3.1	7.8	9.6									0	3.078	
B25A0237	01-03-1912	C1912-03-1001		nee		95500.0	01-03-1912	13	90.9	32	3.9	20	7.5		2.3	.4	2.1				44	0	2.394	
B25A0237	24-02-1912	C1912-02-1023		nee	82400.0	83400.0	24-02-1912	20	86.6	31	5	10	7.3		4.3		2.5			0	39	0	2.376	
B25A0237	20-02-1912	C1912-02-1018		nee		77250.0	20-02-1912	11	82.4	31	5.6	10	8.5		3	.5	2.8				44	0	2.25	
B25A0237	14-02-1912	C1912-02-1010		nee		71650.0	14-02-1912	18.9	80.9	39	9.4	20	7.3		4.7	.8	2.9				56.8	0	2.268	
