LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B25A0281	100800	493030	Rijksdriehoeksmeting	25A		6.0		25AA3281		28			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	Ca (mg/l)	Cl- (mg/l)	EC (uS/cm)	Fe (mg/l)	KLEUR (mgPt/l)	KMNO4V-O (mg/l)	Mg (mg/l)	Mn (mg/l)	NH4 (mg/l)	NH4-ORG (mg/l)	NO2 (mg/l)	NO3 (mg/l)	NaHCO3 (mg/l)	SO4 (mg/l)	SiO2 (mg/l)	TEMP-V (C)	TOTH (mmol/l)	
B25A0281	13-02-1912	C1912-02-1009		nee	151000.0	152000.0	13-02-1912	693	15732	3433.62	21.7	28	17.1	845	.8	6.28	.67	0	0	0	2064	1	18	53.078	
B25A0281	10-02-1912	C1912-02-1008		nee		150350.0	10-02-1912		15592														0		
B25A0281	07-02-1912	C1912-02-1007		nee		146500.0	07-02-1912		14524														0		
B25A0281	06-02-1912	C1912-02-1006		nee		148500.0	06-02-1912		15164														0		
B25A0281	03-02-1912	C1912-02-1002		nee		144500.0	03-02-1912		13888														0		
B25A0281	02-02-1912	C1912-02-1001		nee		142500.0	02-02-1912		13676														0		
B25A0281	31-01-1912	C1912-01-1086		nee		140500.0	31-01-1912		12044														0		
B25A0281	30-01-1912	C1912-01-1085		nee		138500.0	30-01-1912		10872														0		
B25A0281	29-01-1912	C1912-01-1082		nee		136500.0	29-01-1912		8360														0		
B25A0281	26-01-1912	C1912-01-1081		nee		134500.0	26-01-1912		4994														0		
B25A0281	25-01-1912	C1912-01-1080		nee	78800.0	79800.0	25-01-1912	258.2	2976	844.87	3.7	16	17.4	163.7	.22	1.73	.06	0	0	0	323.8	27.5	18	13.424	
B25A0281	24-01-1912	C1912-01-1078		nee		130500.0	24-01-1912		467.6														0		
B25A0281	19-01-1912	C1912-01-1077		nee	127500.0	128500.0	19-01-1912	96.1	228.4	101.69	3.6	29	7.3	20.8	.06	1.03	.01	0	0	0	0	23.6	18	3.308	
B25A0281	16-01-1912	C1912-01-1076		nee	125250.0	126250.0	16-01-1912	74.2	120.3	69.96	3.2	30	10.7	16.6	.19	1.04	.02	0	0	0	0	33.8	18	2.579	
B25A0281	13-01-1912	C1912-01-1073		nee	120000.0	121000.0	13-01-1912	50.1	46.9	54.04	3.2	36	13	16.5	.09	.89	.02	0	0	75.7	0	38.6	18	1.966	
B25A0281	11-01-1912	C1912-01-1071		nee	115000.0	116000.0	11-01-1912	40.8	49.4	54.25	2	43	12.6	20.5	.07	.54	.01	0	0	104.1	0	22.2	18	1.895	
B25A0281	08-01-1912	C1912-01-1069		nee	110000.0	111000.0	08-01-1912	46.5	45.9	54.46	3.5	59	14.5	23.2	.11	1.11	.08	0	0	74.1	0	31.6	18	2.151	
B25A0281	05-01-1912	C1912-01-1039		nee	105000.0	106000.0	05-01-1912	39.1	44.1	52.37	2.6	55	12.3	25.8	.04	.93	.05	0	0	79.3	0	23.2	18	2.07	
B25A0281	02-01-1912	C1912-01-1037		nee	100000.0	101000.0	02-01-1912	44.3	47.6	55.09	1.3	48	10.1	23.9	.06	2.03	.12	0	0	86.7	0	17	18	2.126	
B25A0281	23-12-1911	C1911-12-1019		nee	90600.0	91600.0	23-12-1911	34.4	59.1	65.25	10.1	35	15.8	16.9	.33	2.27	.39	0	0	261.2	2.8	20	18	1.584	
B25A0281	15-12-1911	C1911-12-1015		nee	78800.0	79800.0	15-12-1911	49.1	31.2	52.78	1.6	34	9.2	8	.13	.51	.08	0	0	131.4	2.6	21.8	18	1.584	
B25A0281	12-12-1911	C1911-12-1013		nee	68800.0	69800.0	12-12-1911	92.1	35.6	50.06	3.6	13	7.6	4.4	.33	1.17	.21	0	0	0	9.4	23.4	18	2.52	
B25A0281	08-12-1911	C1911-12-1011		nee	58850.0	59850.0	08-12-1911	3.4	32.1	48.28	1.8	16	3.5	56.84	90	.19	.14	0	0	0	8.5	21.8	18	2.423	
B25A0281	04-12-1911	C1911-12-1008		nee	48850.0	49850.0	04-12-1911	91	34.3	47.76	4.2	6	10.1	4.4	.36	.03	.04	0	0	0	19.8	18.6	18	2.493	
B25A0281	30-11-1911	C1911-11-1020		nee	38800.0	39800.0	30-11-1911	101.6	57.4	58.34	3.26	22	10.7	4.7	.21	.79	.05	0	0	0	16.3	23.1	18	2.776	
B25A0281	28-11-1911	C1911-11-1016		nee	28800.0	29800.0	28-11-1911	54.8	20.6	33.72	9.21	16	5.1	3.9	.25	.58	.08	0	0	0	3	24.6	18	1.552	
B25A0281	24-11-1911	C1911-11-1013		nee	18700.0	19700.0	24-11-1911	59.5	21	33.2	3.21	27	7.6	3.7	.06	.45	.19	0	0	0	4.6	15	18	1.665	
B25A0281	22-11-1911	C1911-11-1008		nee	8500.0	9500.0	22-11-1911	85.1	40.5	47.44	1.19	23	4.7	5.3	.2	.34	.04	0	0	0	22.4	11.2	18	2.38	
