LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B25A0422	101965	490955	Rijksdriehoeksmeting	25A		5.07		25AA3422		11			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	CO2 (mg/l)	Ca (mg/l)	Cl- (mg/l)	EC (uS/cm)	Fe (mg/l)	KMNO4V-O (mg/l)	Mg (mg/l)	Mn (mg/l)	NH4 (mg/l)	NH4-ORG (mg/l)	NO2 (mg/l)	NO3 (mg/l)	NaHCO3 (mg/l)	SO4 (mg/l)	SiO2 (mg/l)	TEMP-V (C)	TOTH (mmol/l)	
B25A0422		C1912-01-1018		nee		12950.0	01-01-1912	103.2	70.7	24.1	42.21	2.9	4.7	9.2	.06	1	.1	0	0	0	0	54.2	18	2.178	
B25A0422		C1912-01-1016		nee		10960.0	01-01-1912	96.6	71	24.6	38.96	3.5	15.8	4.6	.37	1.1	.2	0	0	0	3	43.4	18	1.993	
B25A0422		C1912-01-1019		nee		13950.0	01-01-1912	112.6	77.1	25	43.67	2.2	5.7	.7	.2	.9	.08	0	0	0	0	42.2	18	2.257	
B25A0422		C1912-01-1012		nee		5950.0	01-01-1912	153.4	31.9	50.3	64.72	1.4	20.5	23.6	.06	2.3	.31	0	0	245.8	0	29.2	18	1.802	
B25A0422		C1912-01-1010		nee		4130.0	01-01-1912	148.1	82.6	27	52.37	2.5	7.6	9.4	.31	1.4	.07	0	0	56.1	0	40.8	18	2.486	
B25A0422		C1912-01-1011		nee		4950.0	01-01-1912	133.1	86	27.6	50.38	1.9	7.3	9.7	.49	1.5	.12	0	0	22.6	0	51.2	18	2.587	
B25A0422		C1912-01-1015		nee		9960.0	01-01-1912	108.4	72.6	27.6	44.2	3.5	12.6	9.5	.13	.8	.35	0	0	0	0	37.8	18	2.239	
B25A0422		C1912-01-1013		nee		6969.9995	01-01-1912			7390													0		
B25A0422		C1912-01-1017		nee		11960.0	01-01-1912	100.1	71.3	22.8	39.59	2.8	9.2	5.5	.23	.7	.05	0	0	0	1.4	49.4	18	2.036	
B25A0422		C1912-01-1014		nee		9150.0	01-01-1912	131.1	75.3	93.7	69.02	5.8	11.7	18.3	.25	1.3	.11	0	0	0	0	41	18	2.664	
B25A0422		C1912-01-1020		nee		14950.0	01-01-1912	592	587.9	8428	2078.92	6.4	12.6	348	.54	2.4	.27	0	0	0	1260	11	18	29.52	
