LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B25A0939	100350	497300	Rijksdriehoeksmeting	25A		5.58		25AP0939		17			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	CO3-- (mg/l)	Ca (mg/l)	Cl- (mg/l)	EC (mS/m)	Fe (mg/l)	HCO3 (mg/l)	K (mg/l)	Mg (mg/l)	Mn (mg/l)	NH4 (mg/l)	NO2 (mg/l)	NO3 (mg/l)	Na (mg/l)	O-PO4 (mg/l)	SO4 (mg/l)	SiO2 (mg/l)	T-PO4 (mg/l)	TEMP-V (C)	TOC (mg/l)	TOTH (mmol/l)	pH (-)	
B25A0939		C1985-11-1050		nee	4958.0	5058.0	06-11-1985	0	500	1410	3560	11.2	278	199	930	1.085	11.4	.09	.01	8160		2050	23.1	.02	20	6.2	50.73	7.3	
B25A0939		C1976-05-1022		nee	4958.0	5058.0	25-05-1976			7690																			
B25A0939		C1976-05-1020		nee	3158.0	3258.0002	25-05-1976			1172																			
B25A0939		C1976-05-1023		nee	6858.0	6958.0	25-05-1976			2432																			
B25A0939		C1985-11-1051		nee	9258.0	9358.0	06-11-1985	6.3	30	525	232	1.84	648	9.7	14	.097	6.6	.16	<.01	520		18	18.5	1.6	20	22.7	1.324	8.3	
B25A0939		C1976-05-1025		nee	12258.0	12358.0	25-05-1976			5276																			
B25A0939		C1985-11-1049		nee	3158.0	3258.0002	06-11-1985	0	220	2130	644	6.4	511	30	102	.499	9.8	.09	.03	1110		89	24.8	.15	20	5.4	9.684	7.8	
B25A0939		C1976-05-1024		nee	9258.0	9358.0	25-05-1976			382																			
B25A0939		C1976-05-1019		nee	1658.0	1758.0	25-05-1976			210																			
B25A0939		C1976-05-1021		nee	4058.0002	4158.0	25-05-1976			2222																			
B25A0939	20-04-1983	C1983-04-1083		nee	49680.0	50680.0	20-04-1983			13691																			
B25A0939	20-04-1983	C1983-04-1084		nee	68680.0	69680.0	20-04-1983		200	2510		1.1	1100	25	116	.62	23.5		.01	1560	4.38	42					9.761	7.6	
B25A0939	20-04-1983	C1983-04-1086		nee	122680.0	123680.0	20-04-1983		400	14379		12.2	359	180	920	.62	20.25		.01	8200	.01	2300					47.824	7.1	
B25A0939	20-04-1983	C1983-04-1085		nee	92680.0	93680.0	20-04-1983			497																			
B25A0939	20-04-1983	C1983-04-1081		nee	31680.0	32680.0	20-04-1983			2113																			
B25A0939	20-04-1983	C1983-04-1080		nee	16680.0	17680.0	20-04-1983		155	453		6.4	278	5.5	12	1.01	2.03		.01	245	<.01	117					4.36	7.6	
B25A0939	20-04-1983	C1983-04-1082		nee	40680.0	41680.0	20-04-1983		600	5107		13.1	577	65	225	.85	23.5		.01	2450	<.01	60					24.225	7.1	
