LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B25A1123	101863	496950	Rijksdriehoeksmeting	25A		9.5	Landmeting	25AA4123	300	44			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	1,1,1-trichloorethaan (ug/l)	1,1,2-trichloorethaan (ug/l)	1,1-dichloorethaan (ug/l)	1,2-dichloorethaan (ug/l)	1,2-dichloorpropaan (ug/l)	111CL3EA (ug/l)	112CL3EA (ug/l)	11DCEa (ug/l)	12CL2PA (ug/l)	12DCEa (ug/l)	2,4-D (ug/l)	2,4-dinitrofenol (ug/l)	2,6-dichloorbenzamide BAM (ug/l)	24DNP (ug/l)	24DP (ug/l)	AMPA (ug/l)	Abamectine (ug/l)	Al (mg/m3)	Al (ug/l)	Aldicarb (ug/l)	Aldicarb-SO (ug/l)	Aldicarb-SO2 (ug/l)	As (mg/m3)	As (ug/l)	Atrazine (ug/l)	B (mg/m3)	B (ug/l)	BAM (2,6-dichloorbenzamide) (ug/l)	Ba (mg/m3)	Ba (ug/l)	Bentazon (ug/l)	Broompropylaat (ug/l)	Buffercapaciteit pH 4.3 (mmol/l)	Bupirimaat (ug/l)	Butocarboxim (ug/l)	Butocarboxim-SO (ug/l)	C12DCEe (ug/l)	CH4Cl2 (ug/l)	CL3MA (ug/l)	Ca (mg/l)	Ca (ug/l)	Ca++ (g/m3)	Carbaryl (ug/l)	Carbendazim (ug/l)	Carbetamide (ug/l)	Carbofuran (ug/l)	Cd (mg/m3)	Cd (ug/l)	Chloorprofam (ug/l)	Chloridazon (ug/l)	Cis 1,2-dichlooretheen (ug/l)	Cl- (g/m3)	Cl- (mg/l)	Co (mg/m3)	Cr (mg/m3)	Cr (ug/l)	Cu (mg/m3)	Cu (ug/l)	Cycloxidim (ug/l)	DCBN (ug/l)	DMST (ug/l)	DNOC (ug/l)	DOC_C (g/m3)	Diazinon (ug/l)	Dicamba (ug/l)	Dichlobenil (ug/l)	Dichloormethaan (ug/l)	Diethyl toluamide (ug/l)	Difenoconazool (ug/l)	Dikegulac-Natrium (ug/l)	Dimethoaat (ug/l)	Diuron (ug/l)	EC(5)_veld (mS/m)	EC-lab (uS/cm)	EC-veld (uS/cm)	EC25C (mS/m)	ECVELD (uS/cm)	EOCL (ugCl/l)	EOX (umol/m3)	Eg-lab (uS/cm)	Eg-veld (uS/cm)	Ehm_gecorrigeerd (mV)	Ethiofencarb (ug/l)	Ethofumesaat (ug/l)	Ethyl-tert-butylether (ETBE) (ug/l)	Etridiazool (ug/l)	Fe (g/m3)	Fe (mg/l)	Fe (ug/l)	Fenamifos (ug/l)	Fluazifop-p-butyl (ug/l)	Fluroxypyr (ug/l)	Flutolanil (ug/l)	Furalaxyl (ug/l)	Glyfosaat (ug/l)	H+ (-)	H+(5)_veld (-)	H3 (TU)	HCO3 (mg/l)	HCO3- (g/m3)	HCO3-_veld (g/m3)	HCO3-lab (mg/l)	HCO3-veld (mg/l)	HTI (4-hydroxy-2,5,6-trichloorisoftalonitril (ug/l)	HTI (ug/l)	Hexythiazox (ug/l)	Hg (ug/l)	Imazalil (ug/l)	Imidacloprid (ug/l)	K (mg/l)	K (ug/l)	K+ (g/m3)	KMnO4_O (g/m3)	Linuron (ug/l)	MCPA (ug/l)	MCPP (ug/l)	Metalaxyl (ug/l)	Metamitron (ug/l)	Metazachlor (ug/l)	Methabenzthiazuron (ug/l)	Methiocarb (ug/l)	Methiocarb-SO2 (ug/l)	Methomyl (ug/l)	Methyl tert-butylether (ug/l)	Metolachloor (R/S) (ug/l)	Metolachlor (ug/l)	Metoxuron (ug/l)	Mg (mg/l)	Mg (ug/l)	Mg++ (g/m3)	Mn (g/m3)	Mn (mg/l)	Mn (ug/l)	NH4 (mg/l)	NH4 (mgN/l)	NH4+_N (g/m3)	NO2 (mg/l)	NO3 (mg/l)	NO3 (mgN/l)	NO3-_N (g/m3)	Na (mg/l)	Na (ug/l)	Na+ (g/m3)	Ni (mg/m3)	Ni (ug/l)	O-PO4 (mg/l)	O2 (mg/l)	Oxamyl (ug/l)	P-tot_P (g/m3)	P-totaal (mgP/l)	PO4---_P (g/m3)	PO4-O (mg/l)	PO4-T (mg/l)	Pb (mg/m3)	Pb (ug/l)	Pencycuron (ug/l)	Pirimicarb (ug/l)	Pirimifos-methyl (ug/l)	Prochloraz (ug/l)	Procimidon (ug/l)	Propiconazool (ug/l)	Propoxur (ug/l)	Propyzamide (ug/l)	Prosulfocarb (ug/l)	Pyrimethanil (ug/l)	SIO2 (mg/l)	SO4 (mg/l)	SO4-- (g/m3)	SiO2_Si (g/m3)	Simazine (ug/l)	Sr (mg/m3)	Sr (ug/l)	T (C)	T(5)_veld (C)	T12CL2EE (ug/l)	T4CEe (ug/l)	T4CMa (ug/l)	TCEe (ug/l)	TOC (mg/l)	TOC_C (g/m3)	Tebuconazool (ug/l)	Temp (C)	Temp-lab (C)	Temp-veld (C)	Terbutylazine (ug/l)	Tetrachlooretheen per (ug/l)	Tetrachloormethaan (ug/l)	Tg (TU)	Tolclofos-methyl (ug/l)	Trans 1,2-dichlooretheen (ug/l)	Trichlooretheen tri (ug/l)	Trichloormethaan (ug/l)	V (mg/m3)	VOCL (ugCl/l)	VOX (umol/m3)	Vinclozolin (ug/l)	Vinczln (ug/l)	Zn (mg/m3)	Zn (ug/l)	aldicarb (ug/l)	aldicarbsulfon (ug/l)	aldicarbsulfoxide (ug/l)	aminomethylfosfonzuur (AMPA) (ug/l)	bifenox (ug/l)	bromacil (ug/l)	carbaryl (ug/l)	carbendazim (ug/l)	carbofuran (ug/l)	chloorprofam (ug/l)	chloortoluron (ug/l)	chloridazon (ug/l)	clopyralid (ug/l)	cycloxydim (ug/l)	desethylatrazine (ug/l)	dichlobenil (ug/l)	diethyltoluamide (DEET) (ug/l)	dimethoaat (ug/l)	diuron (ug/l)	ethiofencarb (ug/l)	ethofumesaat (ug/l)	ethoprofos (ug/l)	fenamifos (ug/l)	fluroxypyr (ug/l)	flutolanil (ug/l)	furalaxyl (ug/l)	glyfosaat (ug/l)	imidacloprid (ug/l)	isoproturon (ug/l)	linuron (ug/l)	metalaxyl (ug/l)	metamitron (ug/l)	metazachloor (ug/l)	methabenzthiazuron (ug/l)	methiocarb (ug/l)	methiocarbsulfon (ug/l)	methomyl (ug/l)	metolachloor (ug/l)	metoxuron (ug/l)	metribuzin (ug/l)	metsulfuron-methyl (ug/l)	monuron (ug/l)	nicosulfuron (ug/l)	oxamyl (ug/l)	pH-lab (-)	pH-veld (-)	pencycuron (ug/l)	pirimicarb (ug/l)	prochloraz (ug/l)	procymidon (ug/l)	propachloor (ug/l)	propoxur (ug/l)	propyzamide (ug/l)	prosulfocarb (ug/l)	pyrimethanil (ug/l)	rimsulfuron (ug/l)	simazine (ug/l)	tebuconazool (ug/l)	tolclofos-methyl (ug/l)	triadimenol (ug/l)	triclopyr (ug/l)	triflusulfuron-methyl (ug/l)	
B25A1123	09-12-2010	L2010-12-0016		nee	8000.0	10000.0	09-12-2010									0		<.03		.0472		<.03	<.05			24.0701					5.27	<.03						<.03	<.05	6.749			<.03					119594			<.03	<.03			.254502		<.03			43.528			<.15		<.15			<.05				<.03				<.03	<.1				757.9			759								<.1				10745.5		<.03	<.05										408.456	438.99				<.03				2300.89				<.03	<.03								<.1	<.03				6685.94				360.96		.494				<.05			27881.6			.185		.04			.4352376					<.12			<.03									3.8907			<.03													19.3	9.5	<.03														<2	<.03	<.03	<.03		<.03	<.03			<.03		<.03		<.03		<.03	<.03	<.03	<.03	<.03		<.05	<.03	<.03		<.03		0		<.03	<.03	<.03		<.03		<.03				<.03	<.03	<.03	<.03	<.03		7.08	7.12	<.03			<.03	<.03	<.03	<.03	<.03		<.03		<.03		<.03	<.03	<.03	
B25A1123	09-12-2010	L2010-12-0017		nee	19500.0	21500.0	09-12-2010									0		<.03		<.03		<.03	<.05			14.666					<.15	<.03						<.03	<.05	6.822			<.03					115784			<.03	<.03			.110504		<.03			31.915			<.15		<.15			<.05				<.03				<.03	<.1				722.7			713								<.1				4218.03		<.03	<.05										412.665	430.21				<.03				3924.88				<.03	<.03								<.1	<.03				6596.56				519.052		2.742				<.05			18968.3			<.1		0			.3981672					<.12			<.03									<1			<.03													19.7	12.3	<.03														<2	<.03	<.03	<.03		<.03	<.03			<.03		<.03		<.03		<.03	<.03	<.03	<.03	<.03		<.05	<.03	<.03		<.03		0		<.03	<.03	<.03		<.03		<.03				<.03	<.03	<.03	<.03	<.03		7.3	7.37	<.03			<.03	<.03	<.03	<.03	<.03		<.03		<.03		<.03	<.03	<.03	
B25A1123	27-09-2007	L2007-09-0019		nee	8000.0	10000.0	27-09-2007																		46.0922					3.7095						20.5755													157.736					<0.01					66.34			0.5633		0.2069						5.2										86.5			95.1											14.447									7.08	7.02			482.81	502.47											2.401																		8.3	0.40327					0.72				<0.01			37.792	1.5374					0.495					<0.04														15.33			560			13.2																								0.6781																																																																
B25A1123	26-06-2006	L2006-06-0086		nee	8000.0	10000.0	26-06-2006																		2.6734					2.725						19.4505													145.682					<0.01					58.54			<0.2		0.15						3.879										91.9			90.4											14.118									7.2	7			464	493											2.419																		7.916	0.34805					0.7875				0.01581			37.21	1.0102					0.29463					0.0335														19.77			478.8865			12.5																								0.8643																																																																
B25A1123	18-04-2006	L2006-04-0290		nee	19500.0	21500.0		<.1	<.1	<.5	<.5	<.5						<.05	<.05	<.07			<.2	<.01		<50	<.05	<.05	<.05		<2	<.01						<.01	<.01		<.02	<.05	<.05				120			<.05	<.02		<.05		<.1	<.02	<.02	<.5		40			<.8		<1	<.05		<.03	<.02		<.01		<.05	<1	<.01			<.02	<.01									713		<.05	<.01		<.05				<.05		<.05	<.01	<.01	<.2				400						<.01	<.02	.02	<.01	<.05	4				<.01	<.05	<.05	<.02	<.02	<.01	<.01	<.05	<.05	<.05			<.01	<.01	6.6				.51		3.35			.033	.31			18				<1			<.05							<1	<.01	<.01	<.01	<.2	<.01	<.03	<.05	<.01	<.01	<.01		4.1			<.01											<.02	15.1			<.01	<.1	<.1		<.01	<.5	<.1	<.1				<.02			<5																													<.01																	7.2																	
B25A1123	18-04-2006	L2006-04-0221		nee	8000.0	10000.0							<.1	<.1	<.5	<.5	<.5	<.05			<.05			<.01		<50					<2	<.01			<.07			<.01	.02		<.02	<.05	<.05	<.5	<1	<.1	150								<.1					60			<.8		<1		<.05	<.03	<.02		<.01											876											<.05													460					<.01		<.02	.03	<.01		2.9					<.05	<.05												8.2					.36	1.19			.033	.222			44				1	<.153									<1	<.01		<.01			<.03						18						15.1		<.5	<.1	<.1	<.1							<.01												<.02		<5	<.05	<.05	<.05	<.4			<.05	<.02	<.05	<.02		<.02		<.05			<.01	<.02	<.01	<.05	<.01		<.05	<.05	<.01	<.01	<.2	<.05	<.01	<.01	<.02	<.02	<.01	<.01	<.05	<.05	<.05	<.01	<.01					<.05		7		<.01	<.2	<.01		<.05	<.01	<.01	<.01		<.01	<.02	<.01				
B25A1123	18-04-2006	L2006-04-0222		nee	19500.0	21500.0							<.1	<.1	<.5	<.5	<.5	<.05			<.05			<.01		<50					<2	<.01			<.07			<.01	<.01		<.02	<.05	<.05	<.5	<1	<.1	120								<.1					40			<.8		<1		<.05	<.03	<.02		<.01											713											<.05													400					<.01		<.02	.02	<.01		4					<.05	<.05												6.6					.51	3.35			.033	.31			18				<1	<.153									<1	<.01		<.01			<.03						4.1						15.1		<.5	<.1	<.1	<.1							<.01												<.02		<5	<.05	<.05	<.05	<.2			<.05	<.02	<.05	<.02		<.02		<.05			<.01	<.02	<.01	<.05	<.01		<.05	<.05	<.01	<.01	<.2	<.05	<.01	<.01	<.02	<.02	<.01	<.01	<.05	<.05	<.05	<.01	<.01					<.05		7.2		<.01	<.2	<.01		<.05	<.01	<.01	<.01		<.01	<.02	<.01				
B25A1123	18-04-2006	L2006-04-0289		nee	8000.0	10000.0		<.1	<.1	<.5	<.5	<.5						<.05	<.05	<.07			<.4	<.01		<50	<.05	<.05	<.05		<2	<.01						<.01	.02		<.02	<.05	<.05				150			<.05	<.02		<.05		<.1	<.02	<.02	<.5		60			<.8		<1	<.05		<.03	<.02		<.01		<.05	<1	<.01			<.02	<.01									876		<.05	<.01		<.05				<.05		<.05	<.01	<.01	<.2				460						<.01	<.02	.03	<.01	<.05	2.9				<.01	<.05	<.05	<.02	<.02	<.01	<.01	<.05	<.05	<.05			<.01	<.01	8.2				.36		1.19			.033	.222			44				1			<.05							<1	<.01	<.01	<.01	<.2	<.01	<.03	<.05	<.01	<.01	<.01		18			<.01											<.02	15.1			<.01	<.1	<.1		<.01	<.5	<.1	<.1				<.02			<5																													<.01																	7																	
B25A1123	27-09-2005	L2005-09-0179		nee	8000.0	10000.0	27-09-2005																		1.2					2.4						19.9													148					0.005					54.5		0.84	0.3		0.12						3.3										89.9			89.7											13.9									6.8	6.97				497.385											2.7																		7.7	0.361					0.86				<0.01			40.4	0.85					0.2937					0.02														20.9			484			12.3																			0.65					0.77																																																																
B25A1123	22-07-2004	L2004-07-0066		nee	19500.0	21500.0	22-07-2004																		4					0.2						6.2													119					<0.01					33.5		0.12	0.39		0.22						2.5										70.9														4										7.4				401											3.9																		6.4	0.521					2.64				<0.01			18.1	0.98					0.4242					0.05														1.2			780			12.7																								0.6																																																																
B25A1123	22-07-2004	L2004-07-0065		nee	8000.0	10000.0	22-07-2004																		3.2					2.5						22.1													164					<0.01					74.9		1.1	0.28		0.3						3.6										103.3														15.1										7				533											2.7																		9.1	0.45					0.86				0.03			48.9	1.8					0.3916					0.04														21.9			597			13.3																								1																																																																
B25A1123	01-10-2003	L2003-10-0336		nee	8000.0	10000.0	01-10-2003																		<10					2.78						27													167.86					<0.05					87.99			0.15		<0.25																101.2														14.123										7.02				512.27											2.6																		10.29	0.491					0.73				<0.03			42.43	0.7					0.43																			23.23			606.5			12.2																								<4																																																																
B25A1123	10-09-2002	C2002-09-8069		nee	8000.0	10000.0	10-09-2002																		<53.96					2.098						24.719													162.845					<0.02					95.715			<1.04		<1.271																113.3														11.036										7.18				484.52											2.854																		9.262	0.499					1.037				<0.028			65.177	1.972					0.341																			50.72			576.54			12																								<13.078																																																																
