LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B25A1212	105750	489400	Rijksdriehoeksmeting	25A	Geschat, Top. Kaart 1:25.000	0.46	geschat, Top. Kaart 1:25.000	25AP1212		8			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	Al (mg/l)	Br- (mg/l)	Ca (mg/l)	Cl- (mg/l)	EC (mS/cm)	EC (mS/m)	Fe (mg/l)	HCO3 (mg/l)	HCO3-veld (mg/l)	K (mg/l)	Mg (mg/l)	Mn (mg/l)	NH4 (mg/l)	NO2 (mg/l)	NO3 (mg/l)	Na (mg/l)	O-PO4 (mg/l)	P (mg/l)	PO4 (mg/l)	SO4 (mg/l)	SiO2 (mg/l)	T (C)	TEMP-V (C)	TOC (mg/l)	TOTH (mmol/l)	pH (-)	
B25A1212		C1986-07-1021		nee	11500.0	11600.0	02-07-1986			46	81		71	<.1	305		11	25	.08	1.496	.033	<.089	54	.184			11			20		2.176	7.7	
B25A1212		C1986-07-1020		nee	7500.0	7600.0	02-07-1986			46	410		182	<.1	436		5	13	.08	3.612	.132	<.443	310	.737			12			20		1.682	7.6	
B25A1212	16-04-2003	L2003-04-0020		nee	28000.0	29000.0	16-04-2003				49.14											.48					.52							
B25A1212	16-04-2003	L2003-04-0020		nee	28000.0	29000.0	16-04-2003		.18												-9999					2.72								
B25A1212	16-04-2003	L2003-04-0020		nee	28000.0	29000.0	16-04-2003	.07		64.66				1.42			15.49	33.2	.11				41.39		1.08									
B25A1212	16-04-2003	L2003-04-0020		nee	28000.0	29000.0	16-04-2003					.81				473.52													12.7				7.2	
B25A1212	16-04-2003	L2003-04-0021		nee	75000.0	76000.0	16-04-2003				425.78											.06					.01							
B25A1212	16-04-2003	L2003-04-0021		nee	75000.0	76000.0	16-04-2003					2.02				495.48													12.8				7.26	
B25A1212	16-04-2003	L2003-04-0021		nee	75000.0	76000.0	16-04-2003		1.72												-9999					1.21								
B25A1212	16-04-2003	L2003-04-0021		nee	75000.0	76000.0	16-04-2003	.04		49.76				2.06			4.75	14.35	.09				327.63		.44									
B25A1212	16-04-2003	L2003-04-0022		nee	115000.0	116000.0	16-04-2003				71.14											.01					.01							
B25A1212	16-04-2003	L2003-04-0022		nee	115000.0	116000.0	16-04-2003					.76				317.3													13.1				7.17	
B25A1212	16-04-2003	L2003-04-0022		nee	115000.0	116000.0	16-04-2003		.24												-9999					1.23								
B25A1212	16-04-2003	L2003-04-0022		nee	115000.0	116000.0	16-04-2003	.02		46.96				2.82			10.09	28.16	.11				42.32		.43									
B25A1212	16-04-2003	L2003-04-0019		nee	7000.0	8000.0	16-04-2003	.04		222.49				.64			28.4	64.27	.43				174.44		2.76									
B25A1212	16-04-2003	L2003-04-0019		nee	7000.0	8000.0	16-04-2003					2.51				1318.03													13.3				6.53	
B25A1212	16-04-2003	L2003-04-0019		nee	7000.0	8000.0	16-04-2003		1.45												-9999					7.71								
B25A1212	16-04-2003	L2003-04-0019		nee	7000.0	8000.0	16-04-2003				220.62											2.78					72.22							
B25A1212	01-10-1986	C1986-10-1018		nee	115000.0	116000.0	01-10-1986			53	77		66	1.3	320		11.4	28.4	.85	1.7	<.01	.02	48	.47			2	9.2		20	4	2.49	7.6	
B25A1212	01-10-1986	C1986-10-1016		nee	28000.0	29000.0	01-10-1986			78	98		92	1.2	458		18.5	32.3	1	4.5	<.01	.01	82	.52			28	8.8		20	7	3.274	7.6	
B25A1212	01-10-1986	C1986-10-1015		nee	7000.0	8000.0	01-10-1986			228	175		202	6.9	1037		31.8	91	3.25	9.55	<.01	.02	126	1.05			165	28.7		20	27	9.431	6.9	
B25A1212	01-10-1986	C1986-10-1017		nee	75000.0	76000.0	01-10-1986			53	428		183	1.3	453		4.9	14.2	1.15	5.031	<.032	.088	375	1.565			5	7.7		20	8	1.906	7.8	
B25A1212	02-07-1986	C1986-07-1018		nee	7000.0	8000.0	02-07-1986			180	165		182	<.1	958		30	71	1.1	7.998	<.033	<.443	105	3.009			122			20		7.411	7.1	
B25A1212	02-07-1986	C1986-07-1019		nee	28000.0	29000.0	02-07-1986			56	47		65	<.1	327		13	22	<.03	2.799	.099	.222	38	.399			20			20		2.302	7.3	
