LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B25A1256	107070	491470	Rijksdriehoeksmeting	25A		-1.18		25AP1256		0			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	Al (mg/l)	Br- (mg/l)	Ca (mg/l)	Cl- (mg/l)	DOC (mg/l)	EC (mS/cm)	EC (uS/cm)	F- (mg/l)	Fe (mg/l)	HCO3 (mg/l)	HCO3-veld (mg/l)	K (mg/l)	Mg (mg/l)	Mn (mg/l)	NH4 (mg/l)	NO2 (mg/l)	NO3 (mg/l)	Na (mg/l)	Ortho-fosfaat (PO4) (mg/l)	Ortho-fosfaat (PO4-P) (mgP/l)	P (mg/l)	P-totaal (mgP/l)	PO4 (mg/l)	S (mg/l)	SO4 (mg/l)	Si (mg/l)	T (C)	Temp-veld (C)	pH (-)	
B25A1256	16-04-2003	L2003-04-0018		nee	55080.0	56080.0	16-04-2003											2182.08																12.9		6.86	
B25A1256	16-04-2003	L2003-04-0018		nee	55080.0	56080.0	16-04-2003	.11		246.08						14.35			142.69	728.26	.39				2052.42			3.58									
B25A1256	16-04-2003	L2003-04-0018		nee	55080.0	56080.0	16-04-2003				10933.02													.01								.01					
B25A1256	16-04-2003	L2003-04-0018		nee	55080.0	56080.0	16-04-2003		39.73														-9999							10.62							
B25A1256	16-04-2003	L2003-04-0015		nee	17080.0	18080.0	16-04-2003		1.55														.1							13.13							
B25A1256	16-04-2003	L2003-04-0015		nee	17080.0	18080.0	16-04-2003				486.06													.01								28.39					
B25A1256	16-04-2003	L2003-04-0015		nee	17080.0	18080.0	16-04-2003						2.4					605.32																12.4		7.66	
B25A1256	16-04-2003	L2003-04-0015		nee	17080.0	18080.0	16-04-2003	.04		125.53						.34			23.39	48.59	.13				268.27			4.75									
B25A1256	16-04-2003	L2003-04-0014		nee	5080.0	6080.0	16-04-2003	.06		48.57						.13			29.84	52.81	.12				543.4			3.05									
B25A1256	16-04-2003	L2003-04-0014		nee	5080.0	6080.0	16-04-2003						3.67					598																13.6		7.75	
B25A1256	16-04-2003	L2003-04-0014		nee	5080.0	6080.0	16-04-2003				808.6													.04								141.03					
B25A1256	16-04-2003	L2003-04-0014		nee	5080.0	6080.0	16-04-2003		3.42														.39							8.69							
B25A1256	16-04-2003	L2003-04-0016		nee	29080.0	30080.0	16-04-2003						2.72					588.23																12.6		7.69	
B25A1256	16-04-2003	L2003-04-0016		nee	29080.0	30080.0	16-04-2003	.03		66.32						.6			30.6	64.54	.08				339.18			3.85									
B25A1256	16-04-2003	L2003-04-0016		nee	29080.0	30080.0	16-04-2003				562.97													.01								109.87					
B25A1256	16-04-2003	L2003-04-0016		nee	29080.0	30080.0	16-04-2003		2.11														-9999							11.17							
B25A1256	16-04-2003	L2003-04-0017		nee	40080.0	41080.0	16-04-2003				1823.86													.01								194.77					
B25A1256	16-04-2003	L2003-04-0017		nee	40080.0	41080.0	16-04-2003						6.41					619.96																12.7		7.76	
B25A1256	16-04-2003	L2003-04-0017		nee	40080.0	41080.0	16-04-2003		7.61														-9999							5.96							
B25A1256	16-04-2003	L2003-04-0017		nee	40080.0	41080.0	16-04-2003	.03		102.98						1.15			43.51	116.51	.08				921.88			2.01									
B25A1256	19-04-2001	L2001-04-0017		nee	29080.0	30080.0			2.22	64	640	19.5		2770	<1	.1	466		33.3	60	.06	11.8		.44	439	12	3.91		3.5		41	129	14.3		11.5	7.69	
