LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B25A1362	100165	491290	Rijksdriehoeksmeting	25A		5.23	Landmeting	25AP1362	2219	38			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	12CL2PA (ug/l)	2,4-D (ug/l)	2,6-dichloorbenzamide BAM (ug/l)	24DP (ug/l)	AMPA (ug/l)	Al (mg/l)	Al (mg/m3)	Al (ug/l)	As (mg/m3)	As (ug/l)	Atrazine (ug/l)	Ba (mg/m3)	Ba (ug/l)	Bentazon (ug/l)	Benzeen (ug/l)	Broompropylaat (ug/l)	Buffercapaciteit pH 4.3 (mmol/l)	Butocarboxim-SO (ug/l)	Ca (g/m3)	Ca (mg/l)	Ca (ug/l)	Carbendazim (ug/l)	Carbetamide (ug/l)	Cd (mg/m3)	Cd (ug/l)	Chloridazon (ug/l)	Cl- (g/m3)	Cl- (mg/l)	Cr (mg/m3)	Cr (ug/l)	Cu (mg/m3)	Cu (ug/l)	DMST (ug/l)	DOC (g/m3)	DOC (mg/l)	Dicamba (ug/l)	Difenoconazool (ug/l)	Dikegulac-Natrium (ug/l)	EC (mS/m)	EC (uS/cm)	EC-5 (mS/m)	EC-lab (uS/cm)	ECVELD (uS/cm)	Eg-lab (uS/cm)	Eg-veld (uS/cm)	Ehm_gecorrigeerd (mV)	Ethyl-tert-butylether (ETBE) (ug/l)	Ethylbenzeen (ug/l)	Fe (g/m3)	Fe (mg/l)	Fe (ug/l)	Fluazifop-p-butyl (ug/l)	Fluroxypyr (ug/l)	H-3 (TU)	H3 (TU)	HCO3 (g/m3)	HCO3 (mg/l)	HCO3-Veld (g/m3)	HCO3-lab (mg/l)	HCO3-veld (mg/l)	Hg (ug/l)	K (g/m3)	K (mg/l)	K (ug/l)	MCPA (ug/l)	MCPP (ug/l)	Methyl tert-butylether (ug/l)	Metolachloor (R/S) (ug/l)	Mg (g/m3)	Mg (mg/l)	Mg (ug/l)	Mn (g/m3)	Mn (mg/l)	Mn (ug/l)	NH4 (gN/m3)	NH4 (mg/l)	NH4 (mgN/l)	NO3 (gN/m3)	NO3 (mg/l)	NO3 (mgN/l)	Na (g/m3)	Na (mg/l)	Na (ug/l)	Ni (mg/m3)	Ni (ug/l)	O2 (mg/l)	P-totaal (mg/l)	P-totaal (mgP/l)	PO4-T (mg/l)	Pb (mg/m3)	Pb (ug/l)	Pirimifos-methyl (ug/l)	SO4 (g/m3)	SO4 (mg/l)	Simazine (ug/l)	Sr (mg/m3)	Sr (ug/l)	T-5 (C)	T-PO4 (gP/m3)	T-PO4 (mg/l)	TEMP-V (C)	TOLUEEN (ug/l)	TOTH (mmol/l)	Temp (C)	Temp-lab (C)	Temp-veld (C)	Terbutylazine (ug/l)	XYLENEN (ug/l)	Zn (mg/m3)	Zn (ug/l)	aldicarb (ug/l)	aldicarbsulfon (ug/l)	aldicarbsulfoxide (ug/l)	bifenox (ug/l)	bromacil (ug/l)	carbofuran (ug/l)	chloortoluron (ug/l)	clopyralid (ug/l)	desethylatrazine (ug/l)	dichlobenil (ug/l)	diethyltoluamide (DEET) (ug/l)	dimethoaat (ug/l)	diuron (ug/l)	ethofumesaat (ug/l)	ethoprofos (ug/l)	fenamifos (ug/l)	flutolanil (ug/l)	glyfosaat (ug/l)	isoproturon (ug/l)	linuron (ug/l)	metalaxyl (ug/l)	metazachloor (ug/l)	methiocarb (ug/l)	metoxuron (ug/l)	metribuzin (ug/l)	metsulfuron-methyl (ug/l)	monuron (ug/l)	nicosulfuron (ug/l)	pH (-)	pH-5 (-)	pH-lab (-)	pH-veld (-)	pencycuron (ug/l)	procymidon (ug/l)	propachloor (ug/l)	propoxur (ug/l)	propyzamide (ug/l)	prosulfocarb (ug/l)	rimsulfuron (ug/l)	tebuconazool (ug/l)	triadimenol (ug/l)	triclopyr (ug/l)	triflusulfuron-methyl (ug/l)	
B25A1362		C1993-12-5044		nee	800.0	1000.0	13-12-1993																																			1.36																																																														519.59																																																									
B25A1362		C1993-12-5045		nee	2300.0	2500.0	13-12-1993																																			1.6																																																														551.13																																																									
B25A1362	09-12-2010	L2010-12-0019		nee	23000.0	25000.0	09-12-2010	0	<.03	<.03	<.03	<.05			18.7717		<.15	<.03			<.03		<.05	4.841	<.03			102586	<.03	<.03		.128518	<.03		41.016		<.15		<.15	<.05			<.03	<.03	<.1				646.6	637				<.1				2835.36	<.03	<.05						294.447	309.32	<.03			2409.65	<.03	<.03	<.1	<.03			5387.41			582.106			.952			<.05			20622.1		<.1	0		.222			<.12	<.03		34.7606	<.03										19.4	10.6	<.03			<2	<.03	<.03	<.03	<.03	<.03	<.03	<.03	<.03	<.03	<.03	<.03	<.03	<.03	<.05	<.03	<.03	<.03	0	<.03	<.03	<.03	<.03	<.03	<.03	<.03	<.03	<.03	<.03			7.36	7.54	<.03	<.03	<.03	<.03	<.03	<.03	<.03	<.03	<.03	<.03	<.03	
B25A1362	09-12-2010	L2010-12-0018		nee	8000.0	10000.0	09-12-2010	0	<.03	<.03	<.03	<.05			18.9186		<.15	<.03			<.03		<.05	5.121	<.03			117234	<.03	<.03		<.1	<.03		61.377		<.15		<.15	<.05			<.03	<.03	<.1				749.3	752				<.1				5817.21	<.03	<.05						311.71	334.76	<.03			2277.17	<.03	<.03	<.1	<.03			6011.17			477.891			.677			<.05			26779		<.1	.18		.1834902			<.12	<.03		45.2387	<.03										19.5	9.6	<.03			<2	<.03	<.03	<.03	<.03	<.03	<.03	<.03	<.03	<.03	<.03	<.03	<.03	<.03	<.05	<.03	<.03	<.03	0	<.03	<.03	<.03	<.03	<.03	<.03	<.03	<.03	<.03	<.03			7.33	7.55	<.03	<.03	<.03	<.03	<.03	<.03	<.03	<.03	<.03	<.03	<.03	
B25A1362	15-11-2004	L2004-11-0393		nee	8000.0	10000.0									<25					18							94					<.05			37		<.3		<.4													636					4.3							280						2							4.8			.11			4.7			<.2			19			<.5		.21				<1			34										10.4						<2																																7												
B25A1362	24-11-2003	L2003-11-0171		nee	8000.0	10000.0									<50					20							102					<.4			52		<1		<5													576					4.5							280						1.9							4.7			.12			<.194			<.2			19			<10		.21				<10			53																<20																																7.4												
B25A1362	28-11-2002	L2002-11-0185		nee	8000.0	10000.0									<5		6.7			18							95					<.4			37		1.5		<2			6.1									547	620					4.3							290						2							5.3			.088			.142			<.177			19			<5		.19				<5			36			330													13																															7.4	7.6												
B25A1362	04-12-2001	L2001-12-7148		nee	8000.0	10000.0									<5		4.7			17		<.2					110					<.4			35		<1		<2			4.7									630	675			<.2		4.9							300						2				<1			5.8			.13			.155			<.177			22			<5		<.05				<5			46			430					<.2		10.8				<.2		<5																															7.5	6.3												
B25A1362	22-02-1999	C1999-02-8075		nee	23000.0	25000.0	22-02-1999							7.3		<2			10							120					<0.4			35		<1		<2			6.5					55.1475		61.4								2.7							390						2.2							5.8			0.68			0.6004			0.0601			17			<5						<5			37			540		8.4	0.352										6.8																														7.4	7.3														
B25A1362	22-02-1999	C1999-02-8076		nee	13000.0	15000.0	22-02-1999							<5		<2			<10							100					<0.4			41		<1		<2			3.5					49.419		55.5								3.6							340						2.1							4.8			0.41			0.6199			<0.0400			19			<5						<5			31			360		8.9	0.352										<5																														7.4	7.2														
B25A1362	22-02-1999	C1999-02-8077		nee	8000.0	10000.0	22-02-1999							<5		4.5			21							120					<0.4			43		<1		<2			5.6					55.233		63.1								5.9							360						2							5.2			0.16			0.1198			<0.0400			24			<5						<5			56			380		9.6	22.5										<5																														7.4	7.2														
B25A1362	22-02-1999	L1999-02-0671		nee	23000.0	25000.0									7.3		<2			10							120					<.4			35		<1		<2			6.5									645	694					2.7							390						2.2							5.8			.68			.772			.266			17			<5		.353				<5			37			540							8.4						6.8																															7.4	7.3												
B25A1362	22-02-1999	L1999-02-0670		nee	13000.0	15000.0									<5		<2			<10							100					<.4			41		<1		<2			3.5									578	627					3.6							340						2.1							4.8			.41			.797			<.177			19			<5		.353				<5			31			360							8.9						<5																															7.4	7.2												
B25A1362	22-02-1999	L1999-02-0669		nee	8000.0	10000.0									<5		4.5			21							120					<.4			43		<1		<2			5.6									646	713					5.9							360						2							5.2			.16			.154			<.177			24			<5		22.5				<5			56			380							9.6						<5																															7.4	7.2												
B25A1362	02-10-1996	C1996-10-1041		nee	23000.0	25000.0	02-10-1996						.024				<.15			6.32							123.08					<.06			34.46		<.7		<.7																		.85													2.35							6.47			.39			.271			3.544			18.69			<.7									39.38						.307	20		3.34							13.08																																												
B25A1362	02-10-1996	L1996-10-7780		nee	23000.0	25000.0									24		<.15			6.3							123					<.056			34		<.7		<.7													701					.849							320						2.3							6.5			.385			.271			3.54			18.7			<.7		.105							39			549							10.2						13																																7.47												
B25A1362	02-10-1996	C1996-10-8019		nee	13000.0	15000.0	02-10-1996																																																																																																																																																										
B25A1362	02-10-1996	L1996-10-7779		nee	8000.0	10000.0									<13		6.2			18.7							115					<.056			38		<.7		<.7													685					3.9							304						2.1							5.5			.123			.039			<.133			21.2			<.7		.142							50			427							10						<6.5																																7.47												
B25A1362	02-10-1996	C1996-10-8020		nee	8000.0	10000.0	02-10-1996							<13.490		6.218			18.677							115.242					<0.056			38.180		<0.702		<0.699										60.62								3.904									304.08				2.072							5.470			0.123			0.028			<0.028			21.197			<0.698									50.335			426.709		10.00	0.142										<6.539																															7.47														
B25A1362	02-10-1996	C1996-10-8018		nee	23000.0	25000.0	02-10-1996							24.282		<0.150			6.317							123.078					<0.056			34.457		<0.702		<0.699										62.04								0.849									319.59				2.346							6.466			0.385			0.210			0.799			18.691			<0.698									39.385			549.377		10.20	0.105										13.078																															7.47														
B25A1362	02-10-1996	C1996-10-1040		nee	8000.0	10000.0	02-10-1996						<.013				6.22			18.68							115.24					<.06			38.18		<.7		<.7																		3.9													2.07							5.47			.12			.039			<.133			21.2			<.7									50.34						.43	20		3.11							<6.54																																												
