LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B25B0432	113175	489513	Rijksdriehoeksmeting	25B		1.0	Landmeting	25BA3432	297	42			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	Al (mg/m3)	Al (ug/l)	As (mg/m3)	As (ug/l)	B (mg/m3)	B (ug/l)	Ba (mg/m3)	Ba (ug/l)	Ca (mg/l)	Ca++ (g/m3)	Cd (mg/m3)	Cd (ug/l)	Cl- (g/m3)	Cl- (mg/l)	Co (mg/m3)	Cr (mg/m3)	Cr (ug/l)	Cu (mg/m3)	Cu (ug/l)	DOC_C (g/m3)	EC (uS/cm)	EC(5)_veld (mS/m)	EC25C (mS/m)	EOCL (ugCl/l)	EOX (umol/m3)	Eg-lab (uS/cm)	Eg-veld (uS/cm)	Ehm_gecorrigeerd (mV)	Fe (g/m3)	Fe (mg/l)	H+ (-)	H+(5)_veld (-)	H-3 (TU)	H3 (TU)	HCO3 (mg/l)	HCO3- (g/m3)	HCO3-_veld (g/m3)	K (mg/l)	K+ (g/m3)	KMnO4_O (g/m3)	Mg (mg/l)	Mg++ (g/m3)	Mn (g/m3)	Mn (mg/l)	NH4 (mg/l)	NH4+_N (g/m3)	NO3 (mg/l)	NO3-_N (g/m3)	Na (mg/l)	Na+ (g/m3)	Ni (mg/m3)	Ni (ug/l)	P-tot_P (g/m3)	PO4 (mg/l)	PO4---_P (g/m3)	PO4-O (mg/l)	PO4-T (mg/l)	Pb (mg/m3)	Pb (ug/l)	SIO2 (mg/l)	SO4 (mg/l)	SO4-- (g/m3)	SiO2 (mg/l)	SiO2_Si (g/m3)	Sr (mg/m3)	Sr (ug/l)	T(5)_veld (C)	TOC (mg/l)	TOC_C (g/m3)	Temp (C)	Tg (TU)	V (mg/m3)	VOCL (ugCl/l)	VOX (umol/m3)	Zn (mg/m3)	Zn (ug/l)	pH (-)	pH-lab (-)	pH-veld (-)	
B25B0432	27-09-2007	L2007-09-0015		nee	10000.0	12000.0	27-09-2007	45.4036		1.3516				35.3434			111.869	<0.01		486.71			1.8382		<0.2		23.4		251	248						1.155		7.11	6.95				662.8	672.26		23.668			64.287	1.36636			16.3		<0.01		286.601	1.3931		17.166					0.3123				<0.12			671		11								0.5745					
B25B0432	26-06-2006	L2006-06-0084		nee	27000.0	29000.0	26-06-2006	7.5047		1.0471				141.5123			73.037	<0.01		378.406			2.8232		0.2283		40.11		236	238						1.91		7.4	7.2				752	754		39.787			60.477	0.42673			14.81815		<0.014		334.027	0.6817		2.57966					0.0578				49.524			611.6167		12								1.2545					
B25B0432	27-09-2005	L2005-09-0176		nee	10000.0	12000.0	27-09-2005	1.8		0.51				29.8			128	<0.001		462		1.1	1		0.25		21.4		254	245						1.6		6.8	7.01					818.03		27.1			78.1	1.164			21.93		<0.01		269	0.55		10.4747					0.01				<0.12			641		10.8					1.2			0.66					
B25B0432	11-09-2003	L2003-09-0176		nee	10000.0	12000.0	11-09-2003	<10		1.01				42			140.06	<0.05		423.11			1.3		<0.5				272							0.542			6.98					648.6		17.5			71.66	1.417			12.85		<0.03		230.05	0.9		19.12									<0.1			776.4		10.4								5					
B25B0432	10-09-2002	C2002-09-8073		nee	27000.0	29000.0	10-09-2002	<53.96		<0.15				160.676			77.595	<0.02		412.673			2.943		<1.271				254							0.977			7.22					752		41.915			64.519	0.541			14.654		<0.028		336.987	1.279		3.274									32.66			651.893		10.9								<13.078					
B25B0432	16-11-2001	C2001-11-8157		nee	10000.0	12000.0	16-11-2001	<53.96		0.899				35.706			138.917	0.034		462.942			1.768		<1.271				263							1.664			7.01					784.545		25.454			83.626	1.698			17.008		<0.028		270.155	2.177		24.55									<0.096			826.257		10								<13.078					
B25B0432	16-11-2001	L2001-11-7711		nee	10000.0	12000.0			<54		.899				35.7	139			.034		463			1.77		<1.27								2328			1.66					785			25.4			84			1.7	21.9		<.133		270			2.18					75.1				<.1					826				10						<13			7.01	
B25B0432	14-07-1999	L1999-07-7096		nee	10000.0	12000.0			21		1				55	128			<.1		382			1.2		<.7								2381			.86					689			16			64			1.18	10.3		.31		245			.7					61.8				<.1					688				10.6						13			6.9	
B25B0432	14-07-1999	C1999-07-8126		nee	10000.0	12000.0	14-07-1999	21.584		1.124				55.756			128.913	<0.101		382.86			1.29		<0.699				269							0.86			6.9					688.805		16.266			64.446	1.177			7.986		0.07		245.855	0.745		20.18									<0.096			688.693		10.6								13.078					
B25B0432	22-10-1998	L1998-10-9263		nee	27000.0	29000.0			13		<.15				174	80			<.101		490			2.94		.769								2239			.592					790			43			69			.558	15.5		.868		367			<.7					9.64				15					695				11						<6.54			7.18	
