LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B25B0530	110915	493725	Rijksdriehoeksmeting	25B		-1.55	Landmeting	25BP0530		14			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	Ca (mg/l)	Cl- (mg/l)	EC (mS/m)	Fe (mg/l)	HCO3 (mg/l)	K (mg/l)	KJELD-N (mgN/l)	Mg (mg/l)	Mn (mg/l)	NH4 (mg/l)	NO2 (mg/l)	NO3 (mg/l)	Na (mg/l)	O-PO4 (mg/l)	SO4 (mg/l)	SiO2 (mg/l)	TEMP-V (C)	TOC (mg/l)	TOTH (mmol/l)	pH (-)	
B25B0530	08-10-1985	C1985-10-1056		nee	144010.0	145010.0	08-10-1985	340	11603	2960	8.8	358	145		717	1.01	18	<.01	.01	6600	.15	1165	10	20	6	37.977	7.3	
B25B0530	08-10-1985	C1985-10-1058		nee	200050.0	201050.0	08-10-1985	350	14021	3510	10.6	362	173		902	1.31	21.25	<.01	.01	8050	.2	1345	7.5	20	6	45.836	7.3	
B25B0530	08-10-1985	C1985-10-1057		nee	172020.0	173020.0	08-10-1985	380	13057	3270	11.7	356	186		832.5	1.84	20.25	<.01	.02	7450	.06	1644	7.8	20	6	43.726	7.3	
B25B0530	08-10-1985	C1985-10-1059		nee	218080.0	219080.0	08-10-1985	430	12977	3240	29.5	360	180		832	2.96	22.25	.01	.02	7350	.07	1644	7.8	20	6	44.953	7.2	
B25B0530	24-09-1984	C1984-09-1181		nee	31930.0	32930.0	24-09-1984			1310														20			7.1	
B25B0530	24-09-1984	C1984-09-1180		nee	9890.0	10890.0	24-09-1984			840				33.8										20	67		6.2	
B25B0530	24-09-1984	C1984-09-1183		nee	200050.0	201050.0	24-09-1984			1270														20			6.5	
B25B0530	24-09-1984	C1984-09-1182		nee	144010.0	145010.0	24-09-1984			1310																	6.2	
B25B0530	20-04-1983	C1983-04-1090		nee	115980.0	116980.0	20-04-1983	500	10092		11.3	88	120		600	3.64	22		.01	5600	.28	1540				37.156	7.2	
B25B0530	20-04-1983	C1983-04-1087		nee	9890.0	10890.0	20-04-1983	650	4264		8.3	68	38	38	130	4.4	40.312		.132	2000	3.53	414			14	21.565	7	
B25B0530	20-04-1983	C1983-04-1088		nee	31930.0	32930.0	20-04-1983	320	10733		5.1	544	210	24.4	720	.93	22.252		.044	6200	30.546	1750			12	37.601	7.5	
B25B0530	20-04-1983	C1983-04-1092		nee	200050.0	201050.0	20-04-1983		14196																			
B25B0530	20-04-1983	C1983-04-1089		nee	95950.0	96950.0	20-04-1983	400	5185		5.7	629	65		265	1.68	31.25		.02	2950	.49	640				20.88	7.3	
B25B0530	20-04-1983	C1983-04-1091		nee	144010.0	145010.0	20-04-1983		11823																			
