LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B25C0351	105967	486165	Rijksdriehoeksmeting	25C	GPS (Global Positioning System)	0.21		25CP0351		6			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	Al (mg/l)	As (ug/l)	As(III) (ug/l)	Br- (mg/l)	Ca (mg/l)	Cl- (mg/l)	EC (mS/cm)	EC (uS/cm)	Fe (mg/l)	HCO3 (mg/l)	HCO3-veld (mg/l)	K (mg/l)	Mg (mg/l)	Mn (mg/l)	NH4 (mg/l)	NO2 (mg/l)	NO3 (mg/l)	Na (mg/l)	P (mg/l)	PO4 (mg/l)	SO4 (mg/l)	SiO2 (mg/l)	T (C)	pH (-)	
B25C0351	16-04-2003	L2003-04-0025		nee	64000.0	65000.0	16-04-2003	.09				159.62				5.94			97.06	397.4	.24				1871.13	12.78						
B25C0351	16-04-2003	L2003-04-0025		nee	64000.0	65000.0	16-04-2003						4336.85											18.24				.01				
B25C0351	16-04-2003	L2003-04-0025		nee	64000.0	65000.0	16-04-2003				19.97												-9999				27.51					
B25C0351	16-04-2003	L2003-04-0025		nee	64000.0	65000.0	16-04-2003							14.58				2601.89												13	6.85	
B25C0351	16-04-2003	L2003-04-0024		nee	30000.0	31000.0	16-04-2003						3646.54											.01				10.22				
B25C0351	16-04-2003	L2003-04-0024		nee	30000.0	31000.0	16-04-2003							12.46				2350.49												13.5	7.03	
B25C0351	16-04-2003	L2003-04-0024		nee	30000.0	31000.0	16-04-2003				14.8												-9999				28.53					
B25C0351	16-04-2003	L2003-04-0024		nee	30000.0	31000.0	16-04-2003	.18				136.3				9.49			82.22	326.35	.3				1639.91	10.3						
B25C0351	16-04-2003	L2003-04-0023		nee	14000.0	15000.0	16-04-2003							3.74				1142.29												13.8	6.66	
B25C0351	16-04-2003	L2003-04-0023		nee	14000.0	15000.0	16-04-2003						814.5											.01				.01				
B25C0351	16-04-2003	L2003-04-0023		nee	14000.0	15000.0	16-04-2003				4.13												-9999				11.62					
B25C0351	16-04-2003	L2003-04-0023		nee	14000.0	15000.0	16-04-2003	.02				143.87				5.93			45.19	120.58	1.55				398.48	3.95						
B25C0351	23-11-1994	T1989-00-3331		nee	14000.0	15000.0	23-11-1994					139	671		3393	3.89	1118		46.9	103	1.29	28.3		.06	411		11.82	4	73.8		7.14	
B25C0351	23-11-1994	T1989-00-3331		nee	14000.0	15000.0	23-11-1994		1.2	1																						
B25C0351	23-11-1994	T1989-00-3333		nee	64000.0	65000.0	23-11-1994					166	4357		14120	5.1	3095		94.9	385	.17	190.7		<.05	2451		37.52	13	52.8		7.22	
B25C0351	23-11-1994	T1989-00-3333		nee	64000.0	65000.0	23-11-1994		11.7	6																						
B25C0351	23-11-1994	T1989-00-3332		nee	30000.0	31000.0	23-11-1994					84	1734		6496	5.4	1176		53.9	152	.22	58.7		<.05	1035		14.03	82	42.4		7.3	
B25C0351	23-11-1994	T1989-00-3332		nee	30000.0	31000.0	23-11-1994		6.6	5.7																						
