LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B25D0138	112070	484980	Rijksdriehoeksmeting	25D		-4.2		25DP0138		10			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	Al (mg/l)	As (ug/l)	As(III) (ug/l)	Br- (mg/l)	CO2 (mg/l)	CO3-- (mg/l)	Ca (mg/l)	Cl- (mg/l)	EC (mS/cm)	EC (uS/cm)	Fe (mg/l)	HCO3 (mg/l)	HCO3-veld (mg/l)	K (mg/l)	KLEUR (mgPt/l)	KMNO4V-O (mg/l)	Mg (mg/l)	Mn (mg/l)	NH4 (mg/l)	NH4-ORG (mg/l)	NO2 (mg/l)	NO3 (mg/l)	Na (mg/l)	NaHCO3 (mg/l)	P (mg/l)	PO4 (mg/l)	SO4 (mg/l)	SiO2 (mg/l)	T (C)	T-PO4 (mg/l)	TEMP-V (C)	TIJDH (mmol/l)	TOTH (mmol/l)	pH (-)	
B25D0138		C1980-01-1012		nee	1550.0	1650.0	01-01-1980								2735																											
B25D0138		C1980-01-1013		nee	3700.0	3800.0	01-01-1980								6699																											
B25D0138	27-03-2003	L2003-03-0008		nee	37000.0	38000.0	27-03-2003				24.76																	-9999					2.44									
B25D0138	27-03-2003	L2003-03-0008		nee	37000.0	38000.0	27-03-2003	.04						705.82				20.46			91.91			504.83	.66					1875.04		.85										
B25D0138	27-03-2003	L2003-03-0008		nee	37000.0	38000.0	27-03-2003								7020.14														6.19					661.9								
B25D0138	27-03-2003	L2003-03-0008		nee	37000.0	38000.0	27-03-2003									19.95				334.39																13.3					6.6	
B25D0138	27-03-2003	L2003-03-0007		nee	15500.0	16500.0	27-03-2003				16.71																	-9999					5.01									
B25D0138	27-03-2003	L2003-03-0007		nee	15500.0	16500.0	27-03-2003	.04						434.69				11.2			58.17			248.12	.91					1079.16		1.83										
B25D0138	27-03-2003	L2003-03-0007		nee	15500.0	16500.0	27-03-2003									9.67				659.02																14.3					6.6	
B25D0138	27-03-2003	L2003-03-0007		nee	15500.0	16500.0	27-03-2003								2951.18														.01					11.22								
B25D0138	11-10-1994	T1989-00-3350		nee	15500.0	16500.0	11-10-1994							423	3434		10600	7.28	727		60.6			237	.83	21.4			.29	1520			5.21	90	18.3						7.15	
B25D0138	11-10-1994	T1989-00-3350		nee	15500.0	16500.0	11-10-1994		.2	.1																																
B25D0138	11-10-1994	T1989-00-3351		nee	37000.0	38000.0	11-10-1994							578	6889		18700	11.59	370		94			424	.48	10			.12	3058			2.71	643	12.8						7.08	
B25D0138	11-10-1994	T1989-00-3351		nee	37000.0	38000.0	11-10-1994		.8	.9																																
B25D0138	08-12-1977	C1977-12-1006		nee	15500.0	16500.0	08-12-1977					109		326	2664		816.91	15.2	647		51	34	51	264	1.2	16.8	.2	.02	0	1050	0			4	16.3		.05	18	10.69	19.265	7.16	
B25D0138	08-12-1977	C1977-12-1007		nee	37000.0	38000.0	08-12-1977					67		620	6622		1780.44	18	360		78	22	44	461	1	7.2	1.2	.02	0	3000				618	11.3		.06	18	5.94	35.154	7.08	
B25D0138	11-07-1958	C1958-07-1032		nee	15500.0	16500.0	11-07-1958					9.6	0	438.9	2450		617.92	12.9	586			19	46	215.1	1.3	19.2	.31		0	860	0			6.8	22.8		3.1	18	9.68	20.088	8.16	
B25D0138	11-07-1958	C1958-07-1033		nee	37000.0	38000.0	11-07-1958					48.4	0	558.6	6250		1487.19	14.5	378			13	30	442.6	.57	11.1	.19	0	0	2980	0			566	20		1.8	18	6.26	32.652	7.27	
