LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B25E0344	126460	491090	Rijksdriehoeksmeting	25E		-1.18		25EP0344		20			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	As (ug/l)	As(III) (ug/l)	COD (mgO/l)	Ca (mg/l)	Cl- (mg/l)	EC (mS/m)	EC (uS/cm)	Fe (mg/l)	HCO3 (mg/l)	K (mg/l)	Mg (mg/l)	Mn (mg/l)	NH4 (mg/l)	NO2 (mg/l)	NO3 (mg/l)	Na (mg/l)	PO4 (mg/l)	SO4 (mg/l)	SiO2 (mg/l)	T-PO4 (mg/l)	TEMP-V (C)	TOTH (mmol/l)	pH (-)	
B25E0344		C1979-02-1025		nee	8405.0	8605.0	01-02-1979			99	265	2420		921.64	5.9	741	12.3	95.8	2.08	2.1	0	0	1233		59		0	18	10.536	7.4	
B25E0344		C1979-02-1024		nee	5005.0	5205.0	01-02-1979			44	132	147		167.57	1.4	649	14.2	54.8	3.2	4.9	0	0	80.6		12.3		.05	18	5.536	7.4	
B25E0344		C1979-02-1021		nee	1704.9999	1904.9999	01-02-1979				122	1300		550.89	4.2	913	20.6	81.1	3.01	10.836	0	0	805		12.3		15.104	18	6.48	7.4	
B25E0344		C1979-02-1022		nee	3105.0	3305.0	01-02-1979			55	380	1780		670.28	20.2	640	26.6	153		1.7	0	0	592		3.5		.03	18	15.84	7	
B25E0344		C1979-02-1026		nee	11305.0	11505.0	01-02-1979			141	321	5460		1864.22	5.1	813	546	358	2.07	4.5	0	0	2866		540		0	18	22.857	7.6	
B25E0344		C1979-02-1023		nee	3005.0	4005.0	01-02-1979			63	373	1680		649.34	18.9	723	26.9	142	6.72	1.6	0	0	548		.7		.08	18	15.536	7.4	
B25E0344	24-11-1994	T1989-00-3381		nee	30050.0	40050.0	24-11-1994				167	174		1474	22.07	732	15.2	55	.71	11		<.05	59	.79	2	22.8				7.18	
B25E0344	24-11-1994	T1989-00-3381		nee	30050.0	40050.0	24-11-1994	20.7	20																						
B25E0344	24-11-1994	T1989-00-3382		nee	50050.0	52050.0	24-11-1994				296	2818		8403	19.1	898	13.9	100	.66	7		<.05	1425	.8	<1	18				7.18	
B25E0344	24-11-1994	T1989-00-3382		nee	50050.0	52050.0	24-11-1994	12.9	11.9																						
B25E0344	24-11-1994	T1989-00-3383		nee	84050.0	86050.0	24-11-1994				364	5889		16510	8.43	1010	58.4	325	.33	11.6		<.05	3078	.99	567	14				7.36	
B25E0344	24-11-1994	T1989-00-3383		nee	84050.0	86050.0	24-11-1994	7.5	5.9																						
B25E0344	24-11-1994	T1989-00-3380		nee	31050.0	33050.0	24-11-1994				374	1518		5196	35.35	796	26.2	124	.77	25.3		<.05	518	.98	<1	27.8				6.84	
B25E0344	24-11-1994	T1989-00-3380		nee	31050.0	33050.0	24-11-1994	10.8	9.7																						
B25E0344	24-11-1994	T1989-00-3379		nee	17050.0	19050.0	24-11-1994				85	859		3945	8.94	1142	21.2	62	.62	22.6		<.05	673	19.29	3	46.2				7.27	
B25E0344	24-11-1994	T1989-00-3379		nee	17050.0	19050.0	24-11-1994	2.6	1.7																						
B25E0344	28-09-1978	C1978-09-1102		nee	113000.0	115000.0	28-09-1978					6875		178.95		820												18	4.911		
B25E0344	28-09-1978	C1978-09-1099		nee	17000.0	19000.0	28-09-1978					1125	449.6			640												20	7.25		
B25E0344	28-09-1978	C1978-09-1101		nee	84000.0	86000.0	28-09-1978					3100	899.3			720												20	13.5		
B25E0344	28-09-1978	C1978-09-1100		nee	50000.0	52000.0	28-09-1978					150	130.4			600												20	5.3		
