LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B25E0345	123125	488738	Rijksdriehoeksmeting	25E		0.95	Landmeting	25EA3345	293	28			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	1,1,1-trichloorethaan (ug/l)	1,1,2-trichloorethaan (ug/l)	1,1-dichloorethaan (ug/l)	1,2-dichloorethaan (ug/l)	1,2-dichloorpropaan (ug/l)	111CL3EA (ug/l)	112CL3EA (ug/l)	11DCEa (ug/l)	12CL2PA (ug/l)	12DCEa (ug/l)	2,4-D (ug/l)	2,4-dinitrofenol (ug/l)	2,6-dichloorbenzamide BAM (ug/l)	24DNP (ug/l)	AMPA (ug/l)	Abamectine (ug/l)	Al (mg/m3)	Al (ug/l)	Aldicarb (ug/l)	Aldicarb-SO (ug/l)	Aldicarb-SO2 (ug/l)	As (mg/m3)	As (ug/l)	Atrazine (ug/l)	BAM (2,6-dichloorbenzamide) (ug/l)	Ba (mg/m3)	Ba (ug/l)	Bentazon (ug/l)	Broompropylaat (ug/l)	Bupirimaat (ug/l)	Butocarboxim (ug/l)	Butocarboxim-SO (ug/l)	C12DCEe (ug/l)	CH4Cl2 (ug/l)	CL3MA (ug/l)	Ca (mg/l)	Ca++ (g/m3)	Carbaryl (ug/l)	Carbendazim (ug/l)	Carbofuran (ug/l)	Cd (mg/m3)	Cd (ug/l)	Chloorprofam (ug/l)	Chloridazon (ug/l)	Cis 1,2-dichlooretheen (ug/l)	Cl- (g/m3)	Cl- (mg/l)	Cr (mg/m3)	Cr (ug/l)	Cu (mg/m3)	Cu (ug/l)	Cycloxidim (ug/l)	DCBN (ug/l)	DMST (ug/l)	DNOC (ug/l)	DOC_C (g/m3)	Diazinon (ug/l)	Dichlobenil (ug/l)	Dichloormethaan (ug/l)	Diethyl toluamide (ug/l)	Dimethoaat (ug/l)	Diuron (ug/l)	EC(5)_veld (mS/m)	EC-veld (uS/cm)	EC25C (mS/m)	EOCL (ugCl/l)	EOX (umol/m3)	Eg-lab (uS/cm)	Eg-veld (uS/cm)	Ehm_gecorrigeerd (mV)	Ethiofencarb (ug/l)	Ethofumesaat (ug/l)	Etridiazool (ug/l)	Fe (g/m3)	Fe (mg/l)	Fenamifos (ug/l)	Fluroxypyr (ug/l)	Flutolanil (ug/l)	Furalaxyl (ug/l)	Glyfosaat (ug/l)	H+ (-)	H+(5)_veld (-)	H3 (TU)	HCO3 (mg/l)	HCO3- (g/m3)	HTI (4-hydroxy-2,5,6-trichloorisoftalonitril (ug/l)	HTI (ug/l)	Hexythiazox (ug/l)	Hg (ug/l)	Imazalil (ug/l)	Imidacloprid (ug/l)	K (mg/l)	K+ (g/m3)	KMnO4_O (g/m3)	Linuron (ug/l)	MCPA (ug/l)	MCPP (ug/l)	Metalaxyl (ug/l)	Metamitron (ug/l)	Metazachlor (ug/l)	Methabenzthiazuron (ug/l)	Methiocarb (ug/l)	Methiocarb-SO2 (ug/l)	Methomyl (ug/l)	Metolachlor (ug/l)	Metoxuron (ug/l)	Mg (mg/l)	Mg++ (g/m3)	Mn (g/m3)	Mn (mg/l)	Mn (ug/l)	NH4 (mg/l)	NH4+_N (g/m3)	NO2 (mg/l)	NO3 (mg/l)	NO3-_N (g/m3)	Na (mg/l)	Na+ (g/m3)	Ni (mg/m3)	Ni (ug/l)	O-PO4 (mg/l)	Oxamyl (ug/l)	P-tot_P (g/m3)	PO4---_P (g/m3)	PO4-O (mg/l)	PO4-T (mg/l)	Pb (mg/m3)	Pb (ug/l)	Pencycuron (ug/l)	Pirimicarb (ug/l)	Pirimifos-methyl (ug/l)	Prochloraz (ug/l)	Procimidon (ug/l)	Propiconazool (ug/l)	Propoxur (ug/l)	Propyzamide (ug/l)	Prosulfocarb (ug/l)	Pyrimethanil (ug/l)	SIO2 (mg/l)	SO4 (mg/l)	SO4-- (g/m3)	SiO2_Si (g/m3)	Simazine (ug/l)	Sr (mg/m3)	Sr (ug/l)	T (C)	T(5)_veld (C)	T12CL2EE (ug/l)	T4CEe (ug/l)	T4CMa (ug/l)	TCEe (ug/l)	TOC (mg/l)	TOC_C (g/m3)	Tebuconazool (ug/l)	Temp (C)	Terbutylazine (ug/l)	Tetrachlooretheen per (ug/l)	Tetrachloormethaan (ug/l)	Tg (TU)	Tolclofos-methyl (ug/l)	Trans 1,2-dichlooretheen (ug/l)	Trichlooretheen tri (ug/l)	Trichloormethaan (ug/l)	VOCL (ugCl/l)	VOX (umol/m3)	Vinclozolin (ug/l)	Vinczln (ug/l)	Zn (mg/m3)	Zn (ug/l)	aldicarb (ug/l)	aldicarbsulfon (ug/l)	aldicarbsulfoxide (ug/l)	aminomethylfosfonzuur (AMPA) (ug/l)	carbaryl (ug/l)	carbendazim (ug/l)	carbofuran (ug/l)	chloorprofam (ug/l)	chloridazon (ug/l)	cycloxydim (ug/l)	diethyltoluamide (DEET) (ug/l)	dimethoaat (ug/l)	diuron (ug/l)	ethiofencarb (ug/l)	ethofumesaat (ug/l)	fenamifos (ug/l)	fluroxypyr (ug/l)	flutolanil (ug/l)	furalaxyl (ug/l)	glyfosaat (ug/l)	imidacloprid (ug/l)	isoproturon (ug/l)	linuron (ug/l)	metalaxyl (ug/l)	metamitron (ug/l)	metazachloor (ug/l)	methabenzthiazuron (ug/l)	methiocarb (ug/l)	methiocarbsulfon (ug/l)	methomyl (ug/l)	metolachloor (ug/l)	metoxuron (ug/l)	oxamyl (ug/l)	pH-lab (-)	pH-veld (-)	pirimicarb (ug/l)	prochloraz (ug/l)	procymidon (ug/l)	propoxur (ug/l)	propyzamide (ug/l)	prosulfocarb (ug/l)	pyrimethanil (ug/l)	simazine (ug/l)	tebuconazool (ug/l)	tolclofos-methyl (ug/l)	
B25E0345	18-04-2006	L2006-04-0234		nee	7650.0	8650.0							<.1	<.1	<.5	<.5	<.5	<.05			<.05		<.01		<50					16	<.01	.13			<.01	<.01	<.02	<.05	<.05	<.5	<1	<.1	320						<.1					2100		2.3		4		<.05	<.03	<.02		<.01							8200									<.05											1700		<.01		<.02	<.02	<.01		76				<.05	<.05										160				3.3	33.5		<.033	.222		1300			8	<.153							<1	<.01		<.01			<.03						27						12.6		<.5	<.1	<.1	<.1					<.01											<.02		2700	<.05	<.05	<.05	<1	<.05	<.02	<.05	<.02	<.02	<.05	.01	<.01	<.01	<.05	<.01	<.05	<.05	<.01	<.01	<.5	<.05	<.01	<.01	<.02	<.02	<.01	<.01	<.05	<.05	<.05	<.01	<.01	<.05		6.8	<.01	<.2	<.01	<.05	<.01	<.01	<.01	<.01	<.02	<.01	
B25E0345	18-04-2006	L2006-04-0294		nee	7650.0	8650.0		<.1	<.1	<.5	<.5	<.5						<.05	<.05	.13		<1	<.01		<50	<.05	<.05	<.05		16	<.01				<.01	<.01	<.02	<.05	<.05				320		<.05	<.02	<.05		<.1	<.02	<.02	<.5		2100		2.3		4	<.05		<.03	<.02		<.01	<.05	<1	.01	<.01	<.01							8200		<.05	<.01	<.05			<.05	<.05	<.01	<.01	<.5				1700			<.01	<.02	<.02	<.01	<.05	76			<.01	<.05	<.05	<.02	<.02	<.01	<.01	<.05	<.05	<.05	<.01	<.01	160			3.3		33.5		<.033	.222		1300			8		<.05						<1	<.01	<.01	<.01	<.2	<.01	<.03	<.05	<.01	<.01	<.01		27			<.01											<.02	12.6	<.01	<.1	<.1		<.01	<.5	<.1	<.1			<.02			2700																						<.01													6.8											
B25E0345	09-10-1995	C1995-10-1049		nee	7900.0	8900.0	09-10-1995																	53.96					62.259				270.403											280.961				<0.045					1001.86		2.756		<0.635													481											28.74								6.83			1224.061								31.163															83.165	4.205				15.537			0.191		615.626	5.693				2.447																		3.487			1508.816			13.1																					39.234																																															
B25E0345	09-10-1995	M1995-10-0088		nee	25200.0	27200.0																			105					.38				856									275						<.045					4095		1.46		<.6																		13320	35					13.2									1063								85															289			.644		48.7			<.12		2162			<.88						17.5														3					2665										12.8														13.1																																			6.86											
B25E0345	09-10-1995	C1995-10-1050		nee	25200.0	27200.0	09-10-1995																	105.222					0.375				855.703											274.688				<0.045					4095.28		1.456		<0.635													1332											13.158								6.86			1062.968								84.964															288.778	0.644				37.743			<0.028		2161.773	<0.88				5.729																		2.603			2664.524			12.8																					13.078																																															
B25E0345	09-10-1995	M1995-10-0087		nee	7900.0	8900.0																			54					62.3				270									281						<.045					1002		2.76		<.6																		4810	-27					28.7									1224								31.2															83.2			4.21		20			.85		616			5.69						7.49														3					1509										13.1														39.2																																			6.83											
B25E0345	11-10-1994	C1994-10-1074		nee	25200.0	27200.0	11-10-1994																	<13.49									836.065											278.135				0.09					4170.561				2.542						19.877							1360											15.482								6.85											83.987															291.161	0.661				38.233			0.214		2092.504					5.482				<0.207														1.94			2593.552			11.5																					<6.539																																															
B25E0345	11-10-1994	L1994-10-7773		nee	25200.0	27200.0																			<13									836									278						.09					4171				2.5																		13600						15.5																	84															291			.661		49.3			.95		2093									16.8		<.2												2					2594										13														<6.5																																			6.85											
B25E0345	11-10-1994	L1994-10-7772		nee	7900.0	8900.0																			32									275									248						<.045					524				.6																		3770						29.7																	22.6															42.2			3.86		12.4			1.89		314									9.95		.3												10					1119										13.1														26.2																																			6.71											
B25E0345	11-10-1994	C1994-10-1073		nee	7900.0	8900.0	11-10-1994																	32.376									274.935											247.775				<0.045					523.572				0.635						41.218							377											29.695								6.71											22.639															42.178	3.857				9.639			0.427		313.561					3.252				0.311														10.442			1118.907			13.1																					26.156																																															
B25E0345	03-05-1993	L1993-05-0270		nee	25200.0	27200.0																			<13					1.05				855									274											4194																						15030						16.3																	84.3															295			.614					.21		2236									17.3														12					2636										12.6														26.2																																			6.94											
B25E0345	03-05-1993	C1993-05-1002		nee	25200.0	27200.0	03-05-1993																	<13.49					1.049				855.291											274.223									4194.09										19.804							1503											16.319								6.94											84.339															294.807	0.614							0.048		2235.755					5.637																		12.084			2635.61			12.6																					26.156																																															
B25E0345	03-05-1993	C1993-05-1001		nee	15200.0	17200.0	03-05-1993																	<13.49					15.434				1506.373											586.41									2735.747										18.339							940											22.692								6.33											58.337															158.574	11.553							0.08		1090.876					0.062																		0.288			3825.489			12.6																					<6.539																																															
B25E0345	03-05-1993	L1993-05-0269		nee	15200.0	17200.0																			<13					15.4				1506									586											2736																						9400						22.7																	58.3															159			11.6					.35		1091									.19																			3825										12.6														<6.5																																			6.33											
B25E0345	05-11-1992	C1992-11-1039		nee	15200.0	17200.0	05-11-1992																	68.91					15.46				1482.39											586.88				<0.04					2623.46				<0.64						16.11									931.07									22.83							6.81				1048.93								57.64															157.89	11.54				43.88			0.02		1088.69	4.34								1.14														<0.05			3830.53																								37.78																																															
B25E0345	05-11-1992	L1992-11-0101		nee	25200.0	27200.0																			<13					1.1				870									279						.07					4082				<.6																	12070							17.4									1055								85															298			.64		47.8			.31		2192			<.88								<.2												10					2661																								36.4																																		7.21												
B25E0345	05-11-1992	C1992-11-1040		nee	25200.0	27200.0	05-11-1992																	<13.49					1.1				870.18											278.52				0.07					4082.28				<0.64						16.67									1363.84									17.39							7.21				1055.04								84.97															297.94	0.64				37.07			0.07		2192.26	<0.88								<0.21														9.6			2660.87																								36.42																																															
B25E0345	05-11-1992	L1992-11-0100		nee	15200.0	17200.0																			69					15.5				1482									587						<.04					2623				<.6																	8240							22.8									1049								57.6															158			11.5		56.6			.09		1089			4.34								1.1																	3831																								37.8																																		6.81												
B25E0345	23-10-1991	L1991-10-7578		nee	25200.0	27200.0																			74					1.07				853									278						<.02					4249		2.03		<.6																	11800							17.9									1059								85.2															301			.67		49.2			<.13		2159			1.58						16.3		1.5												4					2662																								<6.5																																		7.14												
