LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B25E0884	123350	494240	Rijksdriehoeksmeting	25E		-0.95		25EP0884	2213	39			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	1,1,1-trichloorethaan (ug/l)	1,1,2-trichloorethaan (ug/l)	1,1-dichloorethaan (ug/l)	1,2-dichloorethaan (ug/l)	1,2-dichloorpropaan (ug/l)	111CL3EA (ug/l)	112CL3EA (ug/l)	11DCEa (ug/l)	12CL2PA (ug/l)	12DCEa (ug/l)	2,4-D (ug/l)	2,4-dinitrofenol (ug/l)	2,6-dichloorbenzamide BAM (ug/l)	24DNP (ug/l)	24DP (ug/l)	AMPA (ug/l)	Abamectine (ug/l)	Al (mg/l)	Al (mg/m3)	Al (ug/l)	Aldicarb (ug/l)	Aldicarb-SO (ug/l)	Aldicarb-SO2 (ug/l)	As (mg/m3)	As (ug/l)	Atrazine (ug/l)	BAM (2,6-dichloorbenzamide) (ug/l)	Ba (mg/m3)	Ba (ug/l)	Bentazon (ug/l)	Broompropylaat (ug/l)	Buffercapaciteit pH 4.3 (mmol/l)	Bupirimaat (ug/l)	Butocarboxim (ug/l)	Butocarboxim-SO (ug/l)	C12DCEe (ug/l)	CH4Cl2 (ug/l)	CL3MA (ug/l)	Ca (g/m3)	Ca (mg/l)	Ca (ug/l)	Carbaryl (ug/l)	Carbendazim (ug/l)	Carbetamide (ug/l)	Carbofuran (ug/l)	Cd (mg/m3)	Cd (ug/l)	Chloorprofam (ug/l)	Chloridazon (ug/l)	Cis 1,2-dichlooretheen (ug/l)	Cl- (g/m3)	Cl- (mg/l)	Cr (mg/m3)	Cr (ug/l)	Cu (mg/m3)	Cu (ug/l)	Cycloxidim (ug/l)	DCBN (ug/l)	DMST (ug/l)	DNOC (ug/l)	DOC (g/m3)	DOC (mg/l)	Diazinon (ug/l)	Dicamba (ug/l)	Dichlobenil (ug/l)	Dichloormethaan (ug/l)	Diethyl toluamide (ug/l)	Difenoconazool (ug/l)	Dikegulac-Natrium (ug/l)	Dimethoaat (ug/l)	Diuron (ug/l)	EC (mS/m)	EC (uS/cm)	EC-5 (mS/m)	EC-LAB25C (mS/m)	EC-lab (uS/cm)	EC-veld (uS/cm)	ECVELD (uS/cm)	Eg-lab (uS/cm)	Eg-veld (uS/cm)	Ehm_gecorrigeerd (mV)	Ethiofencarb (ug/l)	Ethofumesaat (ug/l)	Ethyl-tert-butylether (ETBE) (ug/l)	Etridiazool (ug/l)	Fe (g/m3)	Fe (mg/l)	Fe (ug/l)	Fenamifos (ug/l)	Fluazifop-p-butyl (ug/l)	Fluroxypyr (ug/l)	Flutolanil (ug/l)	Furalaxyl (ug/l)	Glyfosaat (ug/l)	H-3 (TU)	H3 (TU)	HCO3 (g/m3)	HCO3 (mg/l)	HCO3-Veld (g/m3)	HCO3-lab (mg/l)	HCO3-veld (mg/l)	HTI (4-hydroxy-2,5,6-trichloorisoftalonitril (ug/l)	HTI (ug/l)	Hexythiazox (ug/l)	Hg (ug/l)	Imazalil (ug/l)	Imidacloprid (ug/l)	K (g/m3)	K (mg/l)	K (ug/l)	Linuron (ug/l)	MCPA (ug/l)	MCPP (ug/l)	Metalaxyl (ug/l)	Metamitron (ug/l)	Metazachlor (ug/l)	Methabenzthiazuron (ug/l)	Methiocarb (ug/l)	Methiocarb-SO2 (ug/l)	Methomyl (ug/l)	Methyl tert-butylether (ug/l)	Metolachloor (R/S) (ug/l)	Metolachlor (ug/l)	Metoxuron (ug/l)	Mg (g/m3)	Mg (mg/l)	Mg (ug/l)	Mn (g/m3)	Mn (mg/l)	Mn (ug/l)	NH4 (gN/m3)	NH4 (mg/l)	NH4 (mgN/l)	NO2 (mg/l)	NO3 (gN/m3)	NO3 (mg/l)	NO3 (mgN/l)	Na (g/m3)	Na (mg/l)	Na (ug/l)	Ni (mg/m3)	Ni (ug/l)	O-PO4 (mg/l)	O2 (mg/l)	Ortho-fosfaat (mgP/l)	Oxamyl (ug/l)	P-totaal (mg/l)	P-totaal (mgP/l)	PO4-T (mg/l)	Pb (mg/m3)	Pb (ug/l)	Pencycuron (ug/l)	Pirimicarb (ug/l)	Pirimifos-methyl (ug/l)	Prochloraz (ug/l)	Procimidon (ug/l)	Propiconazool (ug/l)	Propoxur (ug/l)	Propyzamide (ug/l)	Prosulfocarb (ug/l)	Pyrimethanil (ug/l)	SO4 (g/m3)	SO4 (mg/l)	SiO2 (mg/l)	SiO2 (mgSi/l)	Simazine (ug/l)	Sr (mg/m3)	Sr (ug/l)	T (C)	T-5 (C)	T-PO4 (gP/m3)	T-PO4 (mg/l)	T12CL2EE (ug/l)	T4CEe (ug/l)	T4CMa (ug/l)	TCEe (ug/l)	TEMP-V (C)	TOTH (mmol/l)	Tebuconazool (ug/l)	Temp (C)	Temp-lab (C)	Temp-veld (C)	Terbutylazine (ug/l)	Tetrachlooretheen per (ug/l)	Tetrachloormethaan (ug/l)	Tolclofos-methyl (ug/l)	Trans 1,2-dichlooretheen (ug/l)	Trichlooretheen tri (ug/l)	Trichloormethaan (ug/l)	Vinclozolin (ug/l)	Vinczln (ug/l)	Zn (mg/m3)	Zn (ug/l)	aldicarb (ug/l)	aldicarbsulfon (ug/l)	aldicarbsulfoxide (ug/l)	aminomethylfosfonzuur (AMPA) (ug/l)	bifenox (ug/l)	bromacil (ug/l)	carbaryl (ug/l)	carbendazim (ug/l)	carbofuran (ug/l)	chloorprofam (ug/l)	chloortoluron (ug/l)	chloridazon (ug/l)	clopyralid (ug/l)	cycloxydim (ug/l)	desethylatrazine (ug/l)	dichlobenil (ug/l)	diethyltoluamide (DEET) (ug/l)	dimethoaat (ug/l)	diuron (ug/l)	ethiofencarb (ug/l)	ethofumesaat (ug/l)	ethoprofos (ug/l)	fenamifos (ug/l)	fluroxypyr (ug/l)	flutolanil (ug/l)	furalaxyl (ug/l)	glyfosaat (ug/l)	imidacloprid (ug/l)	isoproturon (ug/l)	linuron (ug/l)	metalaxyl (ug/l)	metamitron (ug/l)	metazachloor (ug/l)	methabenzthiazuron (ug/l)	methiocarb (ug/l)	methiocarbsulfon (ug/l)	methomyl (ug/l)	metolachloor (ug/l)	metoxuron (ug/l)	metribuzin (ug/l)	metsulfuron-methyl (ug/l)	monuron (ug/l)	nicosulfuron (ug/l)	oxamyl (ug/l)	pH (-)	pH-5 (-)	pH-lab (-)	pH-veld (-)	pencycuron (ug/l)	pirimicarb (ug/l)	prochloraz (ug/l)	procymidon (ug/l)	propachloor (ug/l)	propoxur (ug/l)	propyzamide (ug/l)	prosulfocarb (ug/l)	pyrimethanil (ug/l)	rimsulfuron (ug/l)	simazine (ug/l)	stijgh_mv (m-mv)	tebuconazool (ug/l)	tolclofos-methyl (ug/l)	triadimenol (ug/l)	triclopyr (ug/l)	triflusulfuron-methyl (ug/l)	
B25E0884		C1993-11-5052		nee	808.0	1008.0	15-11-1993																																																														32.97																																																																																																										756.16																																																																																											
B25E0884		C1993-11-5053		nee	2304.0	2504.0	15-11-1993																																																														10.69																																																																																																										1024.28																																																																																											
B25E0884	11-01-2011	L2011-01-0006		nee	23040.0	25040.0	11-01-2011									0		<.03		<.03		<.03	<.05				<10					.511	<.03				<.03	<.05	9.552			<.03						314200		<.03	<.03			.188248		<.03			930.351		.615		<.15			<.05					<.03				<.03	<.1							3475.1		3770						<.1				23535		<.03	<.05									579.439	622.88				<.03					6499.99		<.03	<.03								<.1	<.03					34834.3			2242.86			8.169				<.05			348232		<.1		1.46				.8936486			<.12			<.03									<1			<.03															22.4	11.8	<.03										3.183	<.03	<.03	<.03		<.03	<.03			<.03		<.03		<.03		<.03	<.03	<.03	<.03	<.03		<.05	<.03	<.03		<.03		0		<.03	<.03	<.03		<.03		<.03				<.03	<.03	<.03	<.03	<.03				7.27	6.79	<.03			<.03	<.03	<.03	<.03	<.03		<.03			<.03		<.03	<.03	<.03	
B25E0884	11-01-2011	L2011-01-0005		nee	8080.0	10080.0	11-01-2011									0		<.03		.0655		<.03	<.05				<10					4.68	<.03				<.03	<.05	13.808			<.03						121660		<.03	<.03			<.1		<.03			627.732		6.389		<.15			<.05					<.03				<.03	<.1							2859.8		2960						<.1				9333.98		<.03	<.05									836.676	867.62				<.03					19389		<.03	<.03								<.1	<.03					62482.8			591.107			10.72				<.05			420556		.908		1.49				2.0878821			<.12			<.03									<1			<.03															22.3	11.6	<.03										4.286	<.03	<.03	<.03		<.03	<.03			<.03		<.03		<.03		<.03	<.03	<.03	<.03	<.03		<.05	<.03	<.03		<.03		0		<.03	<.03	<.03		<.03		<.03				<.03	<.03	<.03	<.03	<.03				7.57	7.06	<.03			<.03	<.03	<.03	<.03	<.03		<.03			<.03		<.03	<.03	<.03	
B25E0884	22-07-2009	L2009-07-0019	Slangenpomp	nee	8080.0	10080.0	22-07-2009																									2				31											140							<.1					890		.9		<1																			362													8000										770											12																	46				710			12				<.05		370			<1			.06						<1												4.5	21	9.8			530																									<5																																															6.8																			
B25E0884	22-07-2009	L2009-07-0020	Slangenpomp	nee	23040.0	25040.0	22-07-2009																									<2				410											290							<.1					910		<.8		<1																			358													19000										570											6.6																	30				1600			8.3				<.05		250			<1			.08						<1												4.4	14	6.6			930																									<5																																															6.7																			
B25E0884	05-04-2006	L2006-04-0295		nee	23040.0	25040.0		<.1	<.1	<.5	<.5	<.5						<.05	<.05	<.07			<.5	<.01			<50	<.05	<.05	<.05		<2	<.01				<.01	<.01		<.02	<.05	<.05					310		<.05	<.02		<.05		<.1	<.02	<.02	<.5		850		<.8		<1	<.05		<.03	<.02			<.01		<.05	<1	<.01			<.01	<.01									3500		<.05	<.01		<.05				<.05		<.05	<.01	<.01	<.5				590					<.01	<.02	.02	<.01	<.05		6.4		<.01	<.05	<.05	<.02	<.02	<.01	<.01	<.05	<.05	<.05			<.01	<.01		38			2.3			10.4		<.033		.266			290			<1				<.05					<1	<.01	<.01	<.01	<.2	<.01	<.03	<.05	<.01	<.01	<.01		<1			<.01													<.02	11.8			<.01	<.1	<.1	<.01	<.5	<.1	<.1	<.02			<5																													<.01																			7.1																		
B25E0884	05-04-2006	L2006-04-0235		nee	23040.0	25040.0							<.1	<.1	<.5	<.5	<.5	<.05			<.05			<.01			<50					<2	<.01	<.07			<.01	<.01		<.02	<.05	<.05	<.5	<1	<.1		310							<.1					850		<.8		<1		<.05	<.03	<.02			<.01														3500								<.05													590				<.01		<.02	.02	<.01			6.4			<.05	<.05													38				2.3		10.4		<.033		.266			290			<1	.153								<1	<.01		<.01			<.03						<1						11.8				<.5	<.1	<.1	<.1							<.01								<.02		<5	<.05	<.05	<.05	<.5			<.05	<.02	<.05	<.02		<.02		<.05			<.01	<.01	<.01	<.05	<.01		<.05	<.05	<.01	<.01	<.5	<.05	<.01	<.01	<.02	<.02	<.01	<.01	<.05	<.05	<.05	<.01	<.01					<.05				7.1		<.01	<.2	<.01		<.05	<.01	<.01	<.01		<.01		<.02	<.01				
B25E0884	08-10-1996	L1996-10-7788		nee	23040.0	25040.0																					32					.3				336											319							<.056					661		<.7		<.7																								2830							24.2											569											5.5																	37			2.26			9.42				<.133			195			<.7					.731																<.1					1058												11.2													<6.5																																																6.81																		
B25E0884	08-10-1996	C1996-10-8058		nee	12530.0	14530.0	08-10-1996																																																																																																																																																																																																																																																													-1.3						
B25E0884	08-10-1996	C1996-10-8056		nee	8080.0	10080.0	08-10-1996																			18.886					6.593				72.236											162.661							<0.056					914.433		2.236		<0.699																			361.97												13.661													895.56									20.919																	73.854			0.897			11.488				<0.028			599.510			1.767																					<0.096					733.379			11.20	<0.062																					39.234																																															6.95														-0.89						
B25E0884	08-10-1996	C1996-10-1073		nee	23040.0	25040.0	08-10-1996																		.032							.3				336.32											319.13							<.06					661.5		<.7		<.7																															24.19																						5.51																	37			2.26			9.365				<.133			195.39			<.7																					<.1									2.241					20	9.48															<6.54																																																																		
B25E0884	08-10-1996	C1996-10-1072		nee	8080.0	10080.0	08-10-1996																		.019							6.59				72.24											162.66							<.06					914.43		2.24		<.7																															13.66																						20.92																	73.85			.9			14.822				<.133			599.51			1.77																					<.1									<.184					20	7.1															39.23																																																																		
B25E0884	08-10-1996	C1996-10-8057		nee	23040.0	25040.0	08-10-1996																			32.376					0.300				336.321											319.129							<0.056					661.497		<0.702		<0.699																			250.46												24.194													568.69									5.513																	37.000			2.260			7.257				<0.028			195.392			<0.698																					<0.096					1058.450			11.20	0.731																					<6.539																																															6.81														-1.29						
B25E0884	08-10-1996	L1996-10-7787		nee	8080.0	10080.0																					19					6.6				72											163							<.056					914		2.24		<.7																								4090							13.7											896											21																	74			.897			14.8				<.133			600			1.77					<.062																<.1					733												11.2													39.2																																																6.95																		
B25E0884	10-10-1995	C1995-10-8072		nee	12530.0	14530.0	10-10-1995																																																																																																																																																																																																																																																													-1.27						
B25E0884	10-10-1995	M1995-10-0089		nee	8080.0	10080.0																					<13					7.79				80											160							<.045					880		2.39		<.6																								4010	57						14.4											873											18.5																	69.2			.915			15.1				<.12			579			2.52							5.88		.3																	697												11.4													39.2																																																6.96																		
B25E0884	10-10-1995	C1995-10-1061		nee	8080.0	10080.0	10-10-1995																		<.013							7.79				79.93											159.82							<.04					879.8		2.39		<.64																															14.43											872.59											18.49																	69.21			.92			15.054				<.133			579.33			2.52									.31												<.1									5.894					20	6.84															39.23																																																																		
B25E0884	10-10-1995	C1995-10-8073		nee	8080.0	10080.0	10-10-1995																			<13.490					7.792				79.926											159.823							<0.045					879.798		2.392		<0.635						30.650													354.88												14.432											872.586											18.494																	69.211			0.915			11.670				<0.028			579.325			2.524									0.311												<0.096					697.455			11.40	1.920																					39.234																																															6.96														-0.91						
B25E0884	10-10-1995	C1995-10-1062		nee	23040.0	25040.0	10-10-1995																		.038							.23				319.29											316.53							<.04					631.54		<.26		<.64																															24.57											535.14											5.43																	35.64			2.22			9.275				.177			178.66			<.88									<.21												<.1									2.18					20	9.37															<6.54																																																																		
