LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B25E0885	126489	499025	Rijksdriehoeksmeting	25E		-4.11		25EP0885	2214	35			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	Al (mg/l)	Al (mg/m3)	Al (ug/l)	As (mg/m3)	As (ug/l)	Ba (mg/m3)	Ba (ug/l)	Benzeen (ug/l)	Ca (g/m3)	Ca (mg/l)	Cd (mg/m3)	Cd (ug/l)	Cl- (g/m3)	Cl- (mg/l)	Cr (mg/m3)	Cr (ug/l)	Cu (mg/m3)	Cu (ug/l)	DOC (g/m3)	DOC (mg/l)	EC (mS/m)	EC-5 (mS/m)	Eg-lab (uS/cm)	Eg-veld (uS/cm)	Ehm_gecorrigeerd (mV)	Ethylbenzeen (ug/l)	Fe (g/m3)	Fe (mg/l)	H3 (TU)	HCO3 (g/m3)	HCO3 (mg/l)	HCO3-Veld (g/m3)	K (g/m3)	K (mg/l)	Methyl tert-butylether (ug/l)	Mg (g/m3)	Mg (mg/l)	Mn (g/m3)	Mn (mg/l)	NH4 (gN/m3)	NH4 (mg/l)	NO3 (gN/m3)	NO3 (mg/l)	Na (g/m3)	Na (mg/l)	Ni (mg/m3)	Ni (ug/l)	P-totaal (mg/l)	PO4-T (mg/l)	Pb (mg/m3)	Pb (ug/l)	SO4 (g/m3)	SO4 (mg/l)	Sr (mg/m3)	Sr (ug/l)	T-5 (C)	T-PO4 (gP/m3)	T-PO4 (mg/l)	TEMP-V (C)	TOLUEEN (ug/l)	TOTH (mmol/l)	Temp (C)	XYLENEN (ug/l)	Zn (mg/m3)	Zn (ug/l)	pH (-)	pH-5 (-)	pH-lab (-)	pH-veld (-)	stijgh_mv (m-mv)	
B25E0885		C1993-11-5055		nee	2300.0	2500.0	15-11-1993																				13.63																																			937.53																
B25E0885		C1993-11-5054		nee	800.0	1000.0	15-11-1993																				13.26																																			667.66																
B25E0885	15-11-2004	L2004-11-0396		nee	8000.0	10000.0				<25				130			72		<.05		150		<.3		1.5						1456				5.3			640			23			35		.46		10		<.2		150		<.5	2.3			<1		<.1									11			<2				7.2		
B25E0885	17-11-2003	L2003-11-0173		nee	8000.0	10000.0				<50				120			80		<.4		140		<1		<5						1357				5			640			25			39		.45		10.8		<.2		140		<10	2.1			<10		2.4												<20				7.1		
B25E0885	25-11-2002	L2002-11-0188		nee	8000.0	10000.0				740		<2		150			92		<.4		150		4.2		<2		21			1270	1387				7.2			720			24			41		.57		10.2		<.177		150		<5	2.3			7.3		.37		580										22			7.1	7.1		
B25E0885	22-11-2001	L2001-11-7715		nee	8000.0	10000.0				<5		<2		160	<.2		99		<.4		140		<1		<2		12			1520	1440		<.2		5.8			690			27	<1		45		.49		11.4		<.177		150		<5	2			<5		<.1		690					<.2		10.8	<.2		6.8			7.2	6.8		
B25E0885	28-01-1999	L1999-01-0982		nee	13000.0	15000.0				<5		<2		130			77		<.4		150		1.4		<2		8.7			1370	1443				6.9			730			23			37		.42		10.2		<.177		150		<5	2.26			<5		<.1		530							9.8			<5			7.1	7		
B25E0885	28-01-1999	C1999-01-8051		nee	8000.0	10000.0	28-01-1999		5.1		<2		150			81		<0.4		140		<1		<2		12		115.425	127.0					5.5			710			23			38		0.49		9.0020		<0.0400		140		<5				<5		<0.1		600		9.7	2.55							<5		7.1	6.9				
B25E0885	28-01-1999	L1999-01-0981		nee	8000.0	10000.0				5.1		<2		150			81		<.4		140		<1		<2		12			1350	1435				5.5			710			23			38		.49		11.6		<.177		140		<5	2.55			<5		<.1		600							9.7			<5			7.1	6.9		
B25E0885	28-01-1999	C1999-01-8052		nee	13000.0	15000.0	28-01-1999		<5		<2		130			77		<0.4		150		1.4		<2		8.7		117.135	127.7					6.9			730			23			37		0.42		7.9014		<0.0400		150		<5				<5		<0.1		530		9.8	2.25							<5		7.1	7				
B25E0885	08-10-1996	C1996-10-1074		nee	8000.0	10000.0	08-10-1996	.024				1.42		180.86			89.41		<.06		149.6		<.7		<.7										6.19						23.89			43.98		.57		11.042		<.133		147.76		.75						<.1					6.754	20		4.04				<6.54						
B25E0885	08-10-1996	C1996-10-8051		nee	23000.0	25000.0	08-10-1996		<13.490		0.524		362.139			136.084		<0.056		996.216		<0.702		<0.699					372.58					7.987					777.17	34.017			92.937		0.519		9.765		<0.028		603.143		<0.698						13.448		1191.632		10.40	1.428							6.539			7.20			0.24	
B25E0885	08-10-1996	C1996-10-8052		nee	13000.0	15000.0	08-10-1996																																																																						0.28	
