LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B25F0043	135790	496830	Rijksdriehoeksmeting	25F	Geschat, Top. Kaart 1:25.000	0.04		25FA3043		11			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	CO2 (mg/l)	CO3-- (mg/l)	Ca (mg/l)	Cl- (mg/l)	EC (uS/cm)	Fe (mg/l)	H2S (mg/l)	HCO3 (mg/l)	KLEUR (mgPt/l)	KMNO4V-G (mg/l)	KMNO4V-O (mg/l)	Mg (mg/l)	Mn (mg/l)	NH4 (mg/l)	NH4-ORG (mg/l)	NO2 (mg/l)	NO3 (mg/l)	Na (mg/l)	NaHCO3 (mg/l)	SO4 (mg/l)	SiO2 (mg/l)	T-O2 (C)	T-PO4 (mg/l)	TEMP-V (C)	TIJDH (mmol/l)	TOTH (mmol/l)	
B25F0043	19-10-1918	C1918-10-1009		nee	21020.0	23020.0	19-10-1918	84	0	230.9	510	248.63	21.35	0	915	20	40.2	61.6	96	.62	21.7	0	0	0	248	0	16.1	10	0		18	15	9.77	
B25F0043	08-10-1918	C1918-10-1003		nee	97950.0	98950.0	08-10-1918	35.5	0	320	5090	1388.74	6	0	756	22	12.3		312.6		5	0	0	0	2721	0	173	56	0	0	18	6.21	21.02	
B25F0043	03-10-1918	C1918-10-1002		nee	93120.0	94120.0	03-10-1918	42.2	0	457	4161	1240.54	6.75	0	476	8	10.3		262		3.8	.25		0	2006	0	257	56	0		18	7.78	22.27	
B25F0043	30-09-1918	C1918-09-1017		nee	85670.0	86670.0	30-09-1918	39.6	0	400.4	4289	1168.8	7.63	0	326	4	7.1		231		3.6	0	.12	0	2170	0	372.4	68	0	0	18	5.35	19.63	
B25F0043	26-09-1918	C1918-09-1015		nee	75500.0	76500.0	26-09-1918	44	0	489.1	3871	1041.87	13.6	0	229	13	7.9		186		4	.32	0	0	1868	0	337	16	0	0	18	3.75	19.98	
B25F0043	19-09-1918	C1918-09-1012		nee	65570.0	66570.0	19-09-1918	40	0	466.2	3438	952.64	12.6	0	223	5	4.7	4.7	168		4	.07	0	0	1600	0	285	28	0	0	18	3.64	18.64	
B25F0043	16-09-1918	C1918-09-1010		nee	55680.0	56680.0	16-09-1918	31	0	347.7	2871	785.49	11.2	0	311	5	4.9	4.9	134.4		5	.08	0	0	1348	0	171	8	0	0	18	5.1	14.96	
B25F0043	12-09-1918	C1918-09-1008		nee	45650.0	46650.0	12-09-1918	33	0	270.3	2077	596.13	7.28	0	518	5	5.2	5.7	105		2.75	.32	.06	0	1031	0	0	24	0	0	18	8.5	11.13	
B25F0043	10-09-1918	C1918-09-1007		nee	35780.0	36780.0	10-09-1918	64	0	168.7	1095	374.42	6.51	0	756		15	20	77		7.1	.4	0	0	660	0	0	34	0		18	12.39	7.43	
B25F0043	09-09-1918	C1918-09-1003		nee	28920.0	29920.0	09-09-1918	110	0	204.8	705	292.2	20.8	0	897	24	37.5	44.2	95.8	.48	20	0		0	390	0	32.8	27.2	0		18	14.71	9.11	
B25F0043	05-09-1918	C1918-09-1001		nee	21300.0	22300.0	05-09-1918	150	0	193	468	234.39	16.6	0	939	30	64.6	70.3	91.8	.22	25	0	0	0	229	0	0	30.4	0		18	15.39	8.643	
