LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B25F0055	133466	494497	Rijksdriehoeksmeting	25F	GPS (Global Positioning System)	1.26		25FP0055		17			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	CO2 (mg/l)	CO3-- (mg/l)	Ca (mg/l)	Cl- (mg/l)	EC (mS/m)	EC (uS/cm)	Fe (mg/l)	HCO3 (mg/l)	K (mg/l)	KLEUR (mgPt/l)	KMNO4V-O (mg/l)	Mg (mg/l)	Mn (mg/l)	NH4 (mg/l)	NH4-ORG (mg/l)	NO2 (mg/l)	NO3 (mg/l)	Na (mg/l)	NaHCO3 (mg/l)	O-PO4 (mg/l)	SO4 (mg/l)	SiO2 (mg/l)	T-PO4 (mg/l)	TEMP-V (C)	TIJDH (mmol/l)	TOTH (mmol/l)	pH (-)	
B25F0055	15-10-1980	C1980-10-1064		nee	295760.0	296760.0	15-10-1980			135	6220	1855		3.1	645	72		51	375	.03	20.22		<.01	.34	3320		.16	17	2.8		20		18.794	6.9	
B25F0055	15-10-1980	C1980-10-1062		nee	22010.0	23010.0	15-10-1980			465	3340	1136		27	1170	48		43	225	1.8	23.33		<.01	.29	1680		2.35	28	18.2		20		20.857	6.9	
B25F0055	15-10-1980	C1980-10-1063		nee	44960.0	45960.0	15-10-1980			550	4660	1463		36	1200	48		39	265	1.5	21		<.01	.29	2320		1.4	9	18.2		20		24.623	6.9	
B25F0055	25-06-1957	C1957-06-1030		nee	295760.0	296760.0	25-06-1957	21.6	0	589.4	9420		2373.22	9.8	342		17	18.3	630.8	1.1	7.7	.18	0	0	4820	0		1050	27.2	.06	18	5.6	41	7.56	
B25F0055	21-06-1957	C1957-06-1021		nee	44960.0	45960.0	21-06-1957	143	0	420	4660		1268.3	19.3	1245		39	61	298	1.6	30.3	.6	0	0	2430	0		13.2	40.8	2.4	18	20.35	22.946	7.32	
B25F0055	21-06-1957	C1957-06-1024		nee	195380.0	196380.0	21-06-1957	37.1	0	460	9310		2386.83	16	595		9	32	580	.37	14.3	.22	0	0	5170	0		937	27.2	.31	18	9.75	35.571	7.57	
B25F0055	21-06-1957	C1957-06-1020		nee	22010.0	23010.0	21-06-1957	158	0	440	3680		935.25	30.8	1110		33	61	213.6	2.4	31.3	.52	0		1825	0		14.8	36	2	18	18.21	20.25	7.22	
B25F0055	21-06-1957	C1957-06-1026		nee	268260.0	269260.0	21-06-1957	43.7	0	503.7	10580		2627.71	10.8	500		12	18.8	673.8	.43	11.7	.15	0	0	5710	0		956	56	.48	18	8.21	40.661	7.45	
B25F0055	21-06-1957	C1957-06-1023		nee	161060.0	162060.0	21-06-1957	61.3	0	634	6550		1718.64	16.4	664		10	32	330	.25	6.9	.16	0	0	3320	0		416	12	.15	18	10.89	29.554	7.43	
B25F0055	21-06-1957	C1957-06-1025		nee	236410.0	237410.0	21-06-1957	53	0	598.6	10200		2590.01	12.2	439		11	38	579.8	.34	6.9	.23	0	0	5490	0		1128	55.2	.26	18	7.21	39.107	7.29	
B25F0055	21-06-1957	C1957-06-1022		nee	119010.0	120010.0	21-06-1957	35	0	704.4	4990		1298.67	17.9	227		39	17.3	258.4	1	3.8	.13	0		2240	0		483.3	20	.15	18	3.71	28.357	7.18	
B25F0055	15-05-1957	C1957-05-1031		nee	261000.0	262000.0	15-05-1957	41.3	0	500	10910		2658.09	14	465		7	19.5	681	.37	8.4	.51	0	0	5870	0		1140	27.2	.58	18	7.66	41.22	7.45	
B25F0055	08-05-1957	C1957-05-1006		nee	233000.0	234000.0	08-05-1957	60.7	0	400	10600		2673.8	13.3	434		10	25	510	.31	9	.14	0	0	6190	0		1220	44.1	.6	18	7.16	31.5	7.22	
B25F0055	26-04-1957	C1957-04-1051		nee	191000.0	192000.0	26-04-1957	75.3	0	370.6	8980		2277.91	12.6	671		20	33.5	403	.24	12.5	.2	0	0	5220	0		768	68.8	.32	18	11.08	26.262	7.33	
B25F0055	16-04-1957	C1957-04-1037		nee	104700.0	105700.0	16-04-1957	65.2	0	726	4260		1056.74	20.7	232		9	14.6	188	1.3	7.3	.09	0	0	1840	0		281	24	.13	18	3.81	26.226	6.96	
B25F0055	01-04-1957	C1957-04-1003		nee	49700.0	50700.0	01-04-1957	129.3	0	303.9	5296		1291.34	7	1177		31	62	357	.33	14.3	.51	0		2906	0		58.7	63.2	3.4	18	19.44	22.644	7.33	
B25F0055	28-03-1957	C1957-03-1041		nee	32000.0	33000.0	28-03-1957	204	0	413.3	4510		1112.25	22.6	631	59.4	34	66	268.3	2	23.7	.4	0		2175	0		4.1	38.4	3.6	18	10.44	21.672	6.87	
