LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B25F0141	131100	493150	Rijksdriehoeksmeting	25F		-1.5	Landmeting	25FA3141	302	39			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	1,1,1-trichloorethaan (ug/l)	1,1,2-trichloorethaan (ug/l)	1,1-dichloorethaan (ug/l)	1,2-dichloorethaan (ug/l)	1,2-dichloorpropaan (ug/l)	111CL3EA (ug/l)	112CL3EA (ug/l)	11DCEa (ug/l)	12CL2PA (ug/l)	12DCEa (ug/l)	2,4-D (ug/l)	2,4-dinitrofenol (ug/l)	2,6-dichloorbenzamide BAM (ug/l)	24DNP (ug/l)	AMPA (ug/l)	Abamectine (ug/l)	Al (mg/m3)	Al (ug/l)	Aldicarb (ug/l)	Aldicarb-SO (ug/l)	Aldicarb-SO2 (ug/l)	As (mg/m3)	As (ug/l)	Atrazine (ug/l)	B (mg/m3)	BAM (2,6-dichloorbenzamide) (ug/l)	Ba (mg/m3)	Ba (ug/l)	Bentazon (ug/l)	Broompropylaat (ug/l)	Bupirimaat (ug/l)	Butocarboxim (ug/l)	Butocarboxim-SO (ug/l)	C12DCEe (ug/l)	CH4Cl2 (ug/l)	CL3MA (ug/l)	Ca (mg/l)	Ca++ (g/m3)	Carbaryl (ug/l)	Carbendazim (ug/l)	Carbofuran (ug/l)	Cd (mg/m3)	Cd (ug/l)	Chloorprofam (ug/l)	Chloridazon (ug/l)	Cis 1,2-dichlooretheen (ug/l)	Cl- (g/m3)	Cl- (mg/l)	Co (mg/m3)	Cr (mg/m3)	Cr (ug/l)	Cu (mg/m3)	Cu (ug/l)	Cycloxidim (ug/l)	DCBN (ug/l)	DMST (ug/l)	DNOC (ug/l)	DOC_C (g/m3)	Diazinon (ug/l)	Dichlobenil (ug/l)	Dichloormethaan (ug/l)	Diethyl toluamide (ug/l)	Dimethoaat (ug/l)	Diuron (ug/l)	EC (uS/cm)	EC(5)_veld (mS/m)	EC-veld (uS/cm)	EC25C (mS/m)	EOCL (ugCl/l)	EOX (umol/m3)	Eg-lab (uS/cm)	Eg-veld (uS/cm)	Ehm_gecorrigeerd (mV)	Ethiofencarb (ug/l)	Ethofumesaat (ug/l)	Etridiazool (ug/l)	Fe (g/m3)	Fe (mg/l)	Fenamifos (ug/l)	Fluroxypyr (ug/l)	Flutolanil (ug/l)	Furalaxyl (ug/l)	Glyfosaat (ug/l)	H+ (-)	H+(5)_veld (-)	H-3 (TU)	H3 (TU)	HCO3 (mg/l)	HCO3- (g/m3)	HCO3-_veld (g/m3)	HTI (4-hydroxy-2,5,6-trichloorisoftalonitril (ug/l)	HTI (ug/l)	Hexythiazox (ug/l)	Hg (ug/l)	Imazalil (ug/l)	Imidacloprid (ug/l)	K (mg/l)	K+ (g/m3)	KMnO4_O (g/m3)	Linuron (ug/l)	MCPA (ug/l)	MCPP (ug/l)	Metalaxyl (ug/l)	Metamitron (ug/l)	Metazachlor (ug/l)	Methabenzthiazuron (ug/l)	Methiocarb (ug/l)	Methiocarb-SO2 (ug/l)	Methomyl (ug/l)	Metolachlor (ug/l)	Metoxuron (ug/l)	Mg (mg/l)	Mg++ (g/m3)	Mn (g/m3)	Mn (mg/l)	Mn (ug/l)	NH4 (mg/l)	NH4+_N (g/m3)	NO2 (mg/l)	NO3 (mg/l)	NO3-_N (g/m3)	Na (mg/l)	Na+ (g/m3)	Ni (mg/m3)	Ni (ug/l)	O-PO4 (mg/l)	Oxamyl (ug/l)	P-tot_P (g/m3)	PO4 (mg/l)	PO4---_P (g/m3)	PO4-O (mg/l)	PO4-T (mg/l)	Pb (mg/m3)	Pb (ug/l)	Pencycuron (ug/l)	Pirimicarb (ug/l)	Pirimifos-methyl (ug/l)	Prochloraz (ug/l)	Procimidon (ug/l)	Propiconazool (ug/l)	Propoxur (ug/l)	Propyzamide (ug/l)	Prosulfocarb (ug/l)	Pyrimethanil (ug/l)	SIO2 (mg/l)	SO4 (mg/l)	SO4-- (g/m3)	SiO2 (mg/l)	SiO2_Si (g/m3)	Simazine (ug/l)	Sr (mg/m3)	Sr (ug/l)	T (C)	T(5)_veld (C)	T12CL2EE (ug/l)	T4CEe (ug/l)	T4CMa (ug/l)	TCEe (ug/l)	TOC (mg/l)	TOC_C (g/m3)	Tebuconazool (ug/l)	Temp (C)	Terbutylazine (ug/l)	Tetrachlooretheen per (ug/l)	Tetrachloormethaan (ug/l)	Tg (TU)	Tolclofos-methyl (ug/l)	Trans 1,2-dichlooretheen (ug/l)	Trichlooretheen tri (ug/l)	Trichloormethaan (ug/l)	V (mg/m3)	VOCL (ugCl/l)	VOX (umol/m3)	Vinclozolin (ug/l)	Vinczln (ug/l)	Zn (mg/m3)	Zn (ug/l)	aldicarb (ug/l)	aldicarbsulfon (ug/l)	aldicarbsulfoxide (ug/l)	aminomethylfosfonzuur (AMPA) (ug/l)	carbaryl (ug/l)	carbendazim (ug/l)	carbofuran (ug/l)	chloorprofam (ug/l)	chloridazon (ug/l)	cycloxydim (ug/l)	diethyltoluamide (DEET) (ug/l)	dimethoaat (ug/l)	diuron (ug/l)	ethiofencarb (ug/l)	ethofumesaat (ug/l)	fenamifos (ug/l)	fluroxypyr (ug/l)	flutolanil (ug/l)	furalaxyl (ug/l)	glyfosaat (ug/l)	imidacloprid (ug/l)	isoproturon (ug/l)	linuron (ug/l)	metalaxyl (ug/l)	metamitron (ug/l)	metazachloor (ug/l)	methabenzthiazuron (ug/l)	methiocarb (ug/l)	methiocarbsulfon (ug/l)	methomyl (ug/l)	metolachloor (ug/l)	metoxuron (ug/l)	oxamyl (ug/l)	pH (-)	pH-lab (-)	pH-veld (-)	pirimicarb (ug/l)	prochloraz (ug/l)	procymidon (ug/l)	propoxur (ug/l)	propyzamide (ug/l)	prosulfocarb (ug/l)	pyrimethanil (ug/l)	simazine (ug/l)	tebuconazool (ug/l)	tolclofos-methyl (ug/l)	
B25F0141	13-04-2006	L2006-04-0236		nee	2900.0	4900.0							<1	<1	<5	<5	<5	<.05			<.1		<.01		<50					<2	<.01		<.07			<.05	<.01	<.02	<.05	<.05	<5	<10	<1	96						<.1					1300			<.8		2		<.05	<.03	<.05		<.01								516									<.05												830			<.05		<.02	<.02	<.01		35				<.05	<.05										77				.25	19.4		.033	<.222		910			<1	11								<1	<.01		<.01			<.03						83							10.6		<5	<1	<1	<1					<.01												<.02		<5	<.05	<.05	<.05	<.5	<.05	<.02	<.05	<.02	<.02	<.05	<.01	<.01	<.01	<.05	<.01	<.05	<.2	<.01	<.01	<.5	<.05	<.01	<.01	<.02	<.02	<.01	<.01	<.05	<.05	<.05	<.01	<.01	<.05			6.7	<.01	<.2	<.01	<.05	<.01	<.01	<.01	<.01	<.02	<.01	
B25F0141	13-04-2006	L2006-04-0296		nee	2900.0	4900.0		<1	<1	<5	<5	<5						<.05	<.1	<.07		<.5	<.01		<50	<.05	<.05	<.05		<2	<.01					<.05	<.01	<.02	<.05	<.05				96		<.05	<.02	<.05		<.1	<.02	<.02	<5		1300			<.8		2	<.05		<.03	<.05		<.01	<.05	<10	<.01	<.01	<.01								516		<.05	<.01	<.05			<.05	<.2	<.01	<.01	<.5					830				<.05	<.02	<.02	<.01	<.05	35			<.01	<.05	<.05	<.02	<.02	<.01	<.01	<.05	<.05	<.05	<.01	<.01	77			.25		19.4		.033	<.222		910			<1		<.05							<1	<.01	<.01	<.01	<.2	<.01	<.03	<.05	<.01	<.01	<.01		83				<.01											<.02	10.6	<.01	<1	<1		<.01	<5	<1	<1				<.02			<5																						<.01														6.7											
B25F0141	29-09-2005	L2005-09-0181		nee	22500.0	24500.0	29-09-2005																	1.9					0.56					535											211				0.002					548		0.14	0.43		0.45						11.8								273		259									17.3							6.9	6.99					820.92								34.2															95.1	1.043				20.22			<0.01		164	0.4				1.6968					0.02														<0.12				1280			11																	0.54					1.3																																																
B25F0141	29-09-2005	L2005-09-0180		nee	2900.0	4900.0	29-09-2005																	9.4					0.83					74.1											92.2				<0.001					1229		0.26	0.25		0.23						40.5								493		507									<0.6							6.6	6.86					828.625								32.8															71.4	0.166				14.93			<0.01		848	0.36				1.7947					0.02														4.6				481			11.4																	0.54					0.57																																																
B25F0141	29-11-2001	C2001-11-8283		nee	22500.0	24500.0	29-11-2001																	<53.96					0.3					617.985											211.863				<0.02					540.045			<1.04		<1.271														282											18.073								7.03					809.85								35.581															100.352	1.225				20.357			<0.028		163.62	<1.174				2.31																			<0.096				1456.244			10.5																						13.078																																																
B25F0141	29-11-2001	L2001-11-7717		nee	22500.0	24500.0																			<54					.3					618									212						<.02					540			<1.04		<1.27																			2496						18.1										810									36															100			1.23		26.3			<.133		164			<1.17							7.07														<.1						1456										10.5															13																																				7.03											
B25F0141	29-11-2001	C2001-11-8285		nee	2900.0	4900.0	29-11-2001																	53.96					<0.15					196.382											109.418				0.022					1360.713			1.128		<1.271														526											0.101								6.82					832.38								35.894															85.012	0.277				14.823			<0.028		891.713	1.508				4.141																			5.668				746.522			10.7																						26.156																																																
B25F0141	29-11-2001	L2001-11-7716		nee	2900.0	4900.0																			54					<.15					196									109						.022					1361			1.13		<1.27																			4655						.101										832									36															85			.277		19.1			<.133		892			1.51							12.7														6						747										10.7															26.2																																				6.82											
B25F0141	05-12-1997	L1997-12-7316		nee	3200.0	5200.0																																						88											1208																														.06																			34.8															78.4			.25		17.1			2.48		814																								5.6																																																																														
B25F0141	05-12-1997	C1997-12-1081		nee	3200.0	5200.0	05-12-1997																	45.866					<0.15			154.583		53.696											88.268				<0.045					1207.569			<0.728		<0.699														569											0.061								6.68					784.09								34.799															78.351	0.252				13.225			0.56		813.915	<0.704				3.342																			5.571				660.655			10.6																						<6.539																																																
B25F0141	05-12-1997	L1997-12-7317		nee	22800.0	24800.0																																						211											506																														18																			35.9															100			1.24		26.4			<.13		159																								.1																																																																														
B25F0141	05-12-1997	C1997-12-1082		nee	22800.0	24800.0	05-12-1997																	<13.49					0.3			459.425		618.26											210.929				<0.045					505.623			<0.728		<0.699														296											17.984								7.01					814.79								35.894															100.352	1.242				20.469			<0.028		159.183	<0.704				2.063																			0.096				1445.73			10.1																						13.078																																																
B25F0141	09-10-1995	M1995-10-0093		nee	3200.0	5200.0																			<13					<.15					59									94.5						<.045					1346			<.26		<.6																			5460	47					.084										772									35.7															84.9			.278		18.1			.78		875			1.59							10.5														2						725										11															6.5																																				5.56											
B25F0141	09-10-1995	C1995-10-1052		nee	22800.0	24800.0	09-10-1995																	24.282					0.225					612.766											204.34				<0.045					502.67			0.416		<0.635														272											18.079								6.92				776.785									35.464															97.143	1.211				20.062			0.315		157.573	<0.88				2.075																			<0.096				1427.33			10.9																						<6.539																																																
B25F0141	09-10-1995	M1995-10-0094		nee	22800.0	24800.0																			24					.23					613									204						<.045					503			.42		<.6																			2720	20					18.1										777									35.5															97.1			1.21		25.9			1.4		158			<.88							6.35																				1427										.9															<6.5																																				6.92											
B25F0141	09-10-1995	C1995-10-1051		nee	3200.0	5200.0	09-10-1995																	<13.49					<0.15					58.915											94.549				<0.045					1345.788			<0.26		<0.635														546											0.084								5.56				771.903									35.698															84.891	0.278				13.996			0.177		874.701	1.585				3.438																			1.748				724.617			11																						6.539																																																
B25F0141	09-02-1994	L1994-02-0127		nee	22800.0	24800.0																																																																																								<1.5																																																																																																																																									
B25F0141	09-02-1994	L1994-02-0125		nee	3200.0	5200.0																																																																																								20.7																																																																																																																																									
B25F0141	09-02-1994	L1994-02-0126		nee	15800.0	17800.0																																																																																								<1.5																																																																																																																																									
B25F0141	27-04-1993	C1993-04-1159		nee	22800.0	24800.0	27-04-1993																	18.886					0.3					582.554											195.358									475.704											13.043								265											17.425								6.87													35.307															93.496	1.161							0.032		155.32					1.982																			<0.096				1341.462			10.7																						6.539																																																
B25F0141	27-04-1993	L1993-04-0201		nee	22800.0	24800.0																			19					.3					583									195											476																								2650						17.4																			35.3															93.5			1.16					.14		155										6.06																				1341										10.7															6.5																																				6.87											
B25F0141	27-04-1993	T1989-00-3392		nee	22800.0	24800.0	27-04-1993																																					195											476																	2300													17.42								<1.5		784									35.3															94			1.16		27.6			.14		155							2.35																	<1		26.1																																																															6.97													
B25F0141	27-04-1993	T1989-00-3392		nee	22800.0	24800.0	09-02-1994																							.1																																																																																																																																																																																																									
B25F0141	27-04-1993	T1989-00-3390		nee	3200.0	5200.0	27-04-1993																																					81											1149																	4150													.02								20.7		750									33.5															80			.24		14.8			.82		763							3.25																	3		24.4																																																															7.07													
B25F0141	27-04-1993	T1989-00-3390		nee	3200.0	5200.0	09-02-1994																							.2																																																																																																																																																																																																									
B25F0141	27-04-1993	L1993-04-0200		nee	3200.0	5200.0																			54					<.15					53									80.9											1149																								4820						.017																			33.5															79.6			.241					.82		763										9.67														3						641										10.8															13.1																																				6.55											
B25F0141	27-04-1993	C1993-04-1158		nee	3200.0	5200.0	27-04-1993																	53.96					<0.15					53.421											80.926									1148.899											44.845								482											0.017								6.55													33.509															79.567	0.241							0.185		762.693					3.159																			3.208				640.502			10.8																						13.078																																																
B25F0141	20-05-1992	C1992-05-1205		nee	3200.0	5200.0	20-05-1992																	37.52					<0.07					413.51											82.85				<0.02					1136.63					<0.64						45.23										468.93									0.03							7.07					749.94									34.1															77.55	0.24				11.47			<0.03		770.43	<0.59									0.75														24.11				619.2																									<6.54																																																
B25F0141	20-05-1992	L1992-05-0245		nee	3200.0	5200.0																			38					<.07					414									82.8						<.02					1137					<.6																		4150							.03										750									34.1															77.6			.24		14.8			<.13		770			<.59									.8												24						619																									<6.5																																			7.07												
B25F0141	20-05-1992	C1992-05-1206		nee	22800.0	24800.0	20-05-1992																	32.14					0.17					587.87											197.07				<0.02					457.38					<0.64						10.05										259.89									17.66							6.97					784.11									34.96															93.59	1.16				21.38			0.04		153.41	<0.59									0.06														<0.19				1347.53																									<6.54																																																
B25F0141	20-05-1992	L1992-05-0246		nee	22800.0	24800.0																			32					.17					588									197						<.02					457					<.6																		2300							17.7										784									35															93.6			1.16		27.6			.18		153			<.59									.1																		1348																									<6.5																																			6.97												
B25F0141	15-03-1991	T1989-00-3391		nee	15800.0	17800.0	15-03-1991																																					188											369																	2000													15.25								<1.5		720									30.1															81			1.39		20.6			.13		113							2.03																	<1		34.2																																																															6.98													
B25F0141	15-03-1991	T1989-00-3391		nee	15800.0	17800.0	09-02-1994																							.5																																																																																																																																																																																																									
B25F0141	15-03-1991	L1991-03-0034		nee	22800.0	24800.0																			<19					.3					569									194						<.11					417			<.52		1.8																		2260							17.4										781									34															90.7			1.13		31.5			<.13		152			<.59							7.19		<2.1																		1333																									<6.5																																			6.98												
B25F0141	15-03-1991	C1991-03-1076		nee	15800.0	17800.0	15-03-1991																	<18.83					0.84					224.5											187.46				<0.11					368.84			0.68		<0.63						9.81										225.99									15.25							6.98					719.8									30.12															81.42	1.39				15.95			0.03		112.63	<0.59				2.03					<2.07														<0.19				1295.84																									<6.54																																																
B25F0141	15-03-1991	C1991-03-1077		nee	22800.0	24800.0	15-03-1991																	<18.83					0.3					569.15											194.39				<0.11					417.37			<0.52		1.78						10.27										255.37									17.36							6.98					780.8									34.02															90.71	1.13				24.41			<0.03		151.52	<0.59				2.35					<2.07														<0.19				1333.19																									<6.54																																																
B25F0141	15-03-1991	L1991-03-0033		nee	15800.0	17800.0																			<19					.84					225									188						<.11					369			.68		<.6																		2000							15.3										720									30.1															81.4			1.39		20.6			.13		113			<.59							6.21		<2.1																		1296																									<6.5																																			6.98												
B25F0141	09-03-1990	C1990-03-1086		nee	22800.0	24800.0	09-03-1990																	<18.83					0.31					547.72											192.01				<0.11					446.91			1.82		<0.63						10.5										250.85									18.44							7.02					790.56									33.71															88.94	1.17				19.96			<0.28		148.48	<0.59				1.83					<2.07														<0.19				1314.61																									<6.54																																																
B25F0141	09-03-1990	C1990-03-1085		nee	15800.0	17800.0	09-03-1990																	<18.83					0.67					199.68											176.46				<0.11					356.1			2.29		1.65						10.39										212.43									13.72							7.07					709.43									29.52															78.6	1.34				16.71			<0.28		105.68	0.7				1.61					<2.07														<0.19				1217.4																									18.36																																																
B25F0141	09-03-1990	L1990-03-7533		nee	22800.0	24800.0																			<19					.31					548									192						<.11					447			1.82		<.6																		2220							18.4										791									33.7															88.9			1.17		25.8			<1.24		149			<.59							5.6		<2.1																		1315																									<6.5																																			7.02												
B25F0141	09-03-1990	L1990-03-7532		nee	15800.0	17800.0																			<19					.67					200									177						<.11					356			2.29		1.7																		1880							13.7										709									29.5															78.6			1.34		21.6			<1.24		106			.7							4.93		<2.1																		1217																									18.4																																			7.07												
B25F0141	22-03-1989	L1989-03-7049		nee	15800.0	17800.0																																						184											352																							1920							16.3										720									28.8															79.7					21.8			<1.24		104									4.83	5.32														1																																																																		7.1												
B25F0141	22-03-1989	C1989-03-1117		nee	22800.0	24800.0	22-03-1989																																						191									436																					250.85									19							7.04					781									33.45															90.68					19.82			<0.28		143.5					2.05		1.98																	1.3																																																																													
B25F0141	22-03-1989	C1989-03-1116		nee	15800.0	17800.0	22-03-1989																																						184									352																					216.95									16.3							7.1					720									28.77															79.69					16.87			<0.28		103.5					1.74		1.58																	0.8																																																																													
B25F0141	22-03-1989	L1989-03-7050		nee	22800.0	24800.0																																						191											436																							2220							19										781									33.5															90.7					25.6			<1.24		144									6.06	6.27														1																																																																		7.04												
B25F0141	22-03-1989	C1989-03-8024		nee	3200.0	5200.0	22-03-1989																																																																																																																																																																																																																																
B25F0141	11-03-1988	C1988-03-1037		nee	3200.0	5200.0	11-03-1988																																						75.2									1077																					433.9																6.79					683									32.49															76.36					10.7			<0.28		736.5					3.25																			59.7																																																																													
B25F0141	11-03-1988	L1988-03-0039		nee	3200.0	5200.0																																						75.2											1077																							3840																	683									32.5															76.4					13.8			<1.24		737										9.94														60																																																																		6.79												
B25F0141	11-03-1988	C1988-03-1038		nee	22800.0	24800.0	11-03-1988																																						193									442																					249.15																7.01					782									44.98															93.04					19.06			<0.28		142.9					1.95																			0.5																																																																													
B25F0141	11-03-1988	L1988-03-0040		nee	22800.0	24800.0																																						193											442																							2205																	782									45															93					24.6			<1.24		143										5.97														1																																																																		7.01												
B25F0141	03-04-1987	C1987-04-1030		nee	3200.0	5200.0	03-04-1987																																						98.6									1460											46										542.37																6.99					695									35.1															84.6					13.3			<0.3		912					3.5																			58.6																																																																													
B25F0141	03-04-1987	C1987-04-1031		nee	22800.0	24800.0	03-04-1987																																						191									436											10.3										245.2																7.47					770									34.1															90.3					19.1			<0.3		142					2.24																			1.7																																																																													
B25F0141	03-04-1987	L1987-04-0030		nee	22800.0	24800.0																			<20																			191											436																							2170																	770									34.1															90.3					24.6			<1.33		142										6.85														2																																																																		7.47												
