Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B24F0005,001,24FP0001,99680,493440,643,,690,-490,-590,1956/01/17,2015/09/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B24F0005,001,1956/01/17 00:00:00,296,
B24F0005,001,1956/03/21 00:00:00,277,
B24F0005,001,1956/04/18 00:00:00,286,
B24F0005,001,1956/05/18 00:00:00,294,
B24F0005,001,1956/06/15 00:00:00,301,
B24F0005,001,1956/07/14 00:00:00,308,
B24F0005,001,1956/08/16 00:00:00,317,
B24F0005,001,1956/09/14 00:00:00,316,
B24F0005,001,1956/10/19 00:00:00,323,
B24F0005,001,1956/11/11 00:00:00,324,
B24F0005,001,1956/12/06 00:00:00,329,
B24F0005,001,1957/01/05 00:00:00,330,
B24F0005,001,1957/02/02 00:00:00,333,
B24F0005,001,1957/03/01 00:00:00,313,
B24F0005,001,1957/04/04 00:00:00,310,
B24F0005,001,1957/05/02 00:00:00,312,
B24F0005,001,1957/06/06 00:00:00,323,
B24F0005,001,1957/07/10 00:00:00,337,
B24F0005,001,1957/08/02 00:00:00,343,
B24F0005,001,1957/09/05 00:00:00,321,
B24F0005,001,1957/10/04 00:00:00,300,
B24F0005,001,1957/11/07 00:00:00,298,
B24F0005,001,1957/12/06 00:00:00,294,
B24F0005,001,1958/01/09 00:00:00,295,
B24F0005,001,1958/02/07 00:00:00,276,
B24F0005,001,1958/03/06 00:00:00,270,
B24F0005,001,1958/04/02 00:00:00,258,
B24F0005,001,1958/05/07 00:00:00,260,
B24F0005,001,1958/06/05 00:00:00,268,
B24F0005,001,1958/07/03 00:00:00,278,
B24F0005,001,1958/08/06 00:00:00,288,
B24F0005,001,1958/09/03 00:00:00,301,
B24F0005,001,1958/10/08 00:00:00,305,
B24F0005,001,1958/11/05 00:00:00,308,
B24F0005,001,1958/12/04 00:00:00,310,
B24F0005,001,1959/01/07 00:00:00,296,
B24F0005,001,1959/02/06 00:00:00,268,
B24F0005,001,1959/03/04 00:00:00,271,
B24F0005,001,1959/04/02 00:00:00,285,
B24F0005,001,1959/05/06 00:00:00,282,
B24F0005,001,1959/06/03 00:00:00,290,
B24F0005,001,1959/07/08 00:00:00,305,
B24F0005,001,1959/08/05 00:00:00,313,
B24F0005,001,1959/09/01 00:00:00,312,
B24F0005,001,1959/10/08 00:00:00,330,
B24F0005,001,1959/11/04 00:00:00,338,
B24F0005,001,1959/12/03 00:00:00,340,
B24F0005,001,1960/01/07 00:00:00,326,
B24F0005,001,1960/02/04 00:00:00,320,
B24F0005,001,1960/03/03 00:00:00,309,
B24F0005,001,1960/04/05 00:00:00,313,
B24F0005,001,1960/05/04 00:00:00,325,
B24F0005,001,1960/06/02 00:00:00,333,
B24F0005,001,1960/07/06 00:00:00,341,
B24F0005,001,1960/08/03 00:00:00,349,
B24F0005,001,1960/09/07 00:00:00,354,
B24F0005,001,1960/10/05 00:00:00,351,
B24F0005,001,1960/11/02 00:00:00,341,
B24F0005,001,1960/12/07 00:00:00,303,
B24F0005,001,1961/01/08 00:00:00,263,
B24F0005,001,1961/03/09 00:00:00,255,
B24F0005,001,1961/04/10 00:00:00,258,
B24F0005,001,1961/05/03 00:00:00,263,
B24F0005,001,1961/06/07 00:00:00,277,
B24F0005,001,1961/07/05 00:00:00,287,
B24F0005,001,1961/08/01 00:00:00,295,
B24F0005,001,1961/09/06 00:00:00,308,
B24F0005,001,1961/10/04 00:00:00,307,
B24F0005,001,1961/11/08 00:00:00,287,
B24F0005,001,1961/12/06 00:00:00,278,
B24F0005,001,1962/01/03 00:00:00,253,
B24F0005,001,1962/02/07 00:00:00,243,
