Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B24F0028,002,24FP0028,98170,491310,216,,293,-2184,-2284,1960/03/28,1981/04/28
B24F0028,002,24FP0028,98170,491310,283,,293,-2184,-2284,1981/04/28,2005/04/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B24F0028,002,1960/03/28 00:00:00,99,
B24F0028,002,1960/04/14 00:00:00,107,
B24F0028,002,1960/04/28 00:00:00,108,
B24F0028,002,1960/05/14 00:00:00,110,
B24F0028,002,1960/05/28 00:00:00,113,
B24F0028,002,1960/06/14 00:00:00,115,
B24F0028,002,1960/06/28 00:00:00,124,
B24F0028,002,1960/07/14 00:00:00,118,
B24F0028,002,1960/07/28 00:00:00,122,
B24F0028,002,1960/08/15 00:00:00,122,
B24F0028,002,1960/08/29 00:00:00,118,
B24F0028,002,1960/09/14 00:00:00,103,
B24F0028,002,1960/09/28 00:00:00,103,
B24F0028,002,1960/10/14 00:00:00,104,
B24F0028,002,1960/10/28 00:00:00,98,
B24F0028,002,1960/11/14 00:00:00,88,
B24F0028,002,1960/11/28 00:00:00,78,
B24F0028,002,1960/12/14 00:00:00,48,
B24F0028,002,1960/12/28 00:00:00,50,
B24F0028,002,1961/01/14 00:00:00,49,
B24F0028,002,1961/01/28 00:00:00,40,
B24F0028,002,1961/02/14 00:00:00,35,
B24F0028,002,1961/02/28 00:00:00,39,
B24F0028,002,1961/03/14 00:00:00,47,
B24F0028,002,1961/03/28 00:00:00,51,
B24F0028,002,1961/04/14 00:00:00,52,
B24F0028,002,1961/04/28 00:00:00,57,
B24F0028,002,1961/05/16 00:00:00,63,
B24F0028,002,1961/05/29 00:00:00,66,
B24F0028,002,1961/06/14 00:00:00,73,
B24F0028,002,1961/06/28 00:00:00,79,
B24F0028,002,1961/07/14 00:00:00,85,
B24F0028,002,1961/07/28 00:00:00,88,
B24F0028,002,1961/08/14 00:00:00,93,
B24F0028,002,1961/08/28 00:00:00,93,
B24F0028,002,1961/09/14 00:00:00,87,
