Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,10-06-2017,,,,,,,,
Gegevens beschikbaar:,16-11-2006,tot:,09-12-2015,,,,,,,,
Datum: ,10-06-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B24H0711,002,24HA3711,99098,486112,147,08-01-1993,13-01-1994,09-12-2015,,,-2353,-2453


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B24H0711,002,16-11-2006,134,,,,,,,,
B24H0711,002,17-11-2006,134,,,,,,,,
B24H0711,002,18-11-2006,135,,,,,,,,
B24H0711,002,19-11-2006,136,,,,,,,,
B24H0711,002,20-11-2006,187,,,,,,,,
B24H0711,002,21-11-2006,136,,,,,,,,
B24H0711,002,22-11-2006,134,,,,,,,,
B24H0711,002,23-11-2006,130,,,,,,,,
B24H0711,002,24-11-2006,132,,,,,,,,
B24H0711,002,25-11-2006,132,,,,,,,,
B24H0711,002,26-11-2006,135,,,,,,,,
B24H0711,002,27-11-2006,135,,,,,,,,
B24H0711,002,28-11-2006,136,,,,,,,,
B24H0711,002,29-11-2006,137,,,,,,,,
B24H0711,002,30-11-2006,138,,,,,,,,
B24H0711,002,01-12-2006,138,,,,,,,,
B24H0711,002,02-12-2006,135,,,,,,,,
B24H0711,002,03-12-2006,133,,,,,,,,
B24H0711,002,04-12-2006,133,,,,,,,,
B24H0711,002,05-12-2006,131,,,,,,,,
B24H0711,002,06-12-2006,137,,,,,,,,
B24H0711,002,07-12-2006,129,,,,,,,,
B24H0711,002,08-12-2006,128,,,,,,,,
B24H0711,002,09-12-2006,128,,,,,,,,
B24H0711,002,10-12-2006,131,,,,,,,,
B24H0711,002,11-12-2006,131,,,,,,,,
B24H0711,002,12-12-2006,130,,,,,,,,
B24H0711,002,13-12-2006,129,,,,,,,,
B24H0711,002,14-12-2006,128,,,,,,,,
B24H0711,002,15-12-2006,128,,,,,,,,
B24H0711,002,16-12-2006,127,,,,,,,,
B24H0711,002,17-12-2006,128,,,,,,,,
B24H0711,002,18-12-2006,160,,,,,,,,
B24H0711,002,19-12-2006,134,,,,,,,,
B24H0711,002,20-12-2006,135,,,,,,,,
B24H0711,002,21-12-2006,135,,,,,,,,
B24H0711,002,22-12-2006,135,,,,,,,,
B24H0711,002,23-12-2006,136,,,,,,,,
B24H0711,002,24-12-2006,136,,,,,,,,
B24H0711,002,25-12-2006,137,,,,,,,,
B24H0711,002,26-12-2006,137,,,,,,,,
B24H0711,002,27-12-2006,137,,,,,,,,
B24H0711,002,28-12-2006,136,,,,,,,,
B24H0711,002,29-12-2006,136,,,,,,,,
B24H0711,002,30-12-2006,136,,,,,,,,
B24H0711,002,31-12-2006,134,,,,,,,,
B24H0711,002,01-01-2007,130,,,,,,,,
B24H0711,002,02-01-2007,128,,,,,,,,
B24H0711,002,03-01-2007,128,,,,,,,,
B24H0711,002,04-01-2007,169,,,,,,,,
B24H0711,002,05-01-2007,132,,,,,,,,
B24H0711,002,06-01-2007,132,,,,,,,,
B24H0711,002,07-01-2007,129,,,,,,,,
B24H0711,002,08-01-2007,127,,,,,,,,
B24H0711,002,09-01-2007,127,,,,,,,,
B24H0711,002,10-01-2007,127,,,,,,,,
B24H0711,002,11-01-2007,125,,,,,,,,
B24H0711,002,12-01-2007,123,,,,,,,,
B24H0711,002,13-01-2007,122,,,,,,,,
