Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,10-06-2017,,,,,,,,
Gegevens beschikbaar:,14-03-2007,tot:,20-06-2011,,,,,,,,
Datum: ,10-06-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B25A2877,001,,107181,493721,-211,01-01-2007,01-01-2007,28-06-2011,-214,-3,,


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B25A2877,001,14-03-2007,45,48,-259,,,,,,
B25A2877,001,28-03-2007,50,53,-264,,,,,,
B25A2877,001,16-04-2007,85,88,-299,,,,,,
B25A2877,001,27-04-2007,100,103,-314,,,,,,
B25A2877,001,07-05-2007,110,113,-324,,,,,,
B25A2877,001,11-05-2007,81,84,-295,,,,,,
B25A2877,001,21-05-2007,83,86,-297,,,,,,
B25A2877,001,28-05-2007,83,86,-297,,,,,,
B25A2877,001,01-07-2007,31,34,-245,,,,,,
B25A2877,001,19-07-2007,32,35,-246,,,,,,
B25A2877,001,23-07-2007,-5,-2,-209,,,,,,
B25A2877,001,01-08-2007,30,33,-244,,,,,,
B25A2877,001,14-08-2007,100,103,-314,,,,,,
B25A2877,001,18-09-2007,102,105,-316,,,,,,
B25A2877,001,04-10-2007,55,58,-269,,,,,,
B25A2877,001,15-10-2007,80,83,-294,,,,,,
B25A2877,001,01-11-2007,30,33,-244,,,,,,
B25A2877,001,04-12-2007,22,25,-236,,,,,,
B25A2877,001,16-12-2007,50,53,-264,,,,,,
B25A2877,001,05-01-2008,28,31,-242,,,,,,
B25A2877,001,18-01-2008,7,10,-221,,,,,,
B25A2877,001,28-01-2008,37,40,-251,,,,,,
B25A2877,001,14-02-2008,55,58,-269,,,,,,
B25A2877,001,01-03-2008,29,32,-243,,,,,,
B25A2877,001,28-03-2008,-1,2,-213,,,,,,
B25A2877,001,14-04-2008,55,58,-269,,,,,,
B25A2877,001,05-05-2008,55,58,-269,,,,,,
B25A2877,001,01-06-2008,90,93,-304,,,,,,
B25A2877,001,16-06-2008,108,111,-322,,,,,,
B25A2877,001,03-07-2008,130,133,-344,,,,,,
B25A2877,001,14-07-2008,47,50,-261,,,,,,
B25A2877,001,14-08-2008,10,13,-224,,,,,,
B25A2877,001,28-08-2008,35,38,-249,,,,,,
B25A2877,001,29-09-2008,81,84,-295,,,,,,
B25A2877,001,14-10-2008,43,46,-257,,,,,,
B25A2877,001,09-01-2009,42,45,-256,,,,,,
B25A2877,001,28-01-2009,28,31,-242,,,,,,
B25A2877,001,13-02-2009,36,39,-250,,,,,,
B25A2877,001,13-03-2009,42,45,-256,,,,,,
B25A2877,001,14-04-2009,60,63,-274,,,,,,
B25A2877,001,14-05-2009,96,99,-310,,,,,,
B25A2877,001,29-05-2009,29,32,-243,,,,,,
B25A2877,001,15-06-2009,72,75,-286,,,,,,
B25A2877,001,28-06-2009,98,101,-312,,,,,,
B25A2877,001,14-07-2009,97,100,-311,,,,,,
B25A2877,001,28-07-2009,102,105,-316,,,,,,
B25A2877,001,31-08-2009,112,115,-326,,,,,,
B25A2877,001,29-09-2009,150,153,-364,,,,,,
B25A2877,001,14-10-2009,140,143,-354,,,,,,
B25A2877,001,29-10-2009,145,148,-359,,,,,,
B25A2877,001,14-11-2009,52,55,-266,,,,,,
B25A2877,001,29-11-2009,-2,1,-212,,,,,,
B25A2877,001,16-12-2009,51,54,-265,,,,,,
B25A2877,001,04-01-2010,45,48,-259,,,,,,
B25A2877,001,14-01-2010,51,54,-265,,,,,,
B25A2877,001,28-01-2010,10,13,-224,,,,,,
B25A2877,001,15-02-2010,36,39,-250,,,,,,
B25A2877,001,28-02-2010,0,3,-214,,,,,,
B25A2877,001,15-03-2010,18,21,-232,,,,,,
B25A2877,001,14-05-2010,57,60,-271,,,,,,
B25A2877,001,28-05-2010,78,81,-292,,,,,,
B25A2877,001,15-06-2010,96,99,-310,,,,,,
B25A2877,001,28-06-2010,111,114,-325,,,,,,
B25A2877,001,18-07-2010,85,88,-299,,,,,,
B25A2877,001,13-08-2010,50,53,-264,,,,,,
B25A2877,001,30-08-2010,22,25,-236,,,,,,
B25A2877,001,28-10-2010,0,3,-214,,,,,,
B25A2877,001,14-11-2010,0,3,-214,,,,,,
B25A2877,001,29-11-2010,-20,-17,-194,,,,,,
B25A2877,001,28-01-2011,-30,-27,-184,,,,,,
B25A2877,001,14-02-2011,-22,-19,-192,,,,,,
B25A2877,001,28-02-2011,0,3,-214,,,,,,
B25A2877,001,14-03-2011,-48,-45,-166,,,,,,
B25A2877,001,28-03-2011,-57,-54,-157,,,,,,
B25A2877,001,28-04-2011,-73,-70,-141,,,,,,
B25A2877,001,16-05-2011,-94,-91,-120,,,,,,
B25A2877,001,14-06-2011,-112,-109,-102,,,,,,
B25A2877,001,15-06-2011,0,3,-214,,,,,,
B25A2877,001,20-06-2011,-90,-87,-124,,,,,,
