Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,10-06-2017,,,,,,,,
Gegevens beschikbaar:,09-02-1988,tot:,31-05-2016,,,,,,,,
Datum: ,10-06-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B25B0909,003,25BP0909,115090,491600,92,01-12-1987,09-02-1988,16-11-1990,88,-4,-5812,-5912
B25B0909,003,25BP0909,115090,491600,92,01-12-1987,16-11-1990,29-09-1992,76,-16,-5812,-5912
B25B0909,003,25BP0909,115090,491600,92,01-12-1987,29-09-1992,19-12-2006,99,7,-5812,-5912
B25B0909,003,25BP0909,115090,491600,92,01-12-1987,19-12-2006,31-05-2016,113,21,-5812,-5912


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B25B0909,003,09-02-1988,281,285,-193,,,,,,
B25B0909,003,24-02-1988,288,292,-200,,,,,,
B25B0909,003,09-03-1988,293,297,-205,,,,,,
B25B0909,003,25-03-1988,283,287,-195,,,,,,
B25B0909,003,08-04-1988,291,295,-203,,,,,,
B25B0909,003,25-04-1988,295,299,-207,,,,,,
B25B0909,003,09-05-1988,301,305,-213,,,,,,
B25B0909,003,24-05-1988,304,308,-216,,,,,,
B25B0909,003,08-06-1988,305,309,-217,,,,,,
B25B0909,003,21-06-1988,305,309,-217,,,,,,
B25B0909,003,05-07-1988,321,325,-233,,,,,,
B25B0909,003,15-07-1988,323,327,-235,,,,,,
B25B0909,003,29-08-1988,320,324,-232,,,,,,
B25B0909,003,09-09-1988,321,325,-233,,,,,,
B25B0909,003,28-11-1988,313,317,-225,,,,,,
B25B0909,003,14-12-1988,317,321,-229,,,,,,
B25B0909,003,27-12-1988,313,317,-225,,,,,,
B25B0909,003,13-01-1989,313,317,-225,,,,,,
B25B0909,003,28-01-1989,315,319,-227,,,,,,
B25B0909,003,14-02-1989,318,322,-230,,,,,,
B25B0909,003,28-02-1989,308,312,-220,,,,,,
B25B0909,003,14-03-1989,308,312,-220,,,,,,
B25B0909,003,28-03-1989,317,321,-229,,,,,,
B25B0909,003,14-04-1989,314,318,-226,,,,,,
B25B0909,003,28-04-1989,317,321,-229,,,,,,
B25B0909,003,14-05-1989,316,320,-228,,,,,,
B25B0909,003,28-05-1989,327,331,-239,,,,,,
B25B0909,003,14-06-1989,324,328,-236,,,,,,
B25B0909,003,28-06-1989,327,331,-239,,,,,,
B25B0909,003,13-07-1989,328,332,-240,,,,,,
B25B0909,003,28-07-1989,327,331,-239,,,,,,
B25B0909,003,18-08-1989,328,332,-240,,,,,,
B25B0909,003,28-08-1989,327,331,-239,,,,,,
B25B0909,003,14-09-1989,325,329,-237,,,,,,
B25B0909,003,28-09-1989,328,332,-240,,,,,,
B25B0909,003,13-10-1989,325,329,-237,,,,,,
B25B0909,003,28-10-1989,321,325,-233,,,,,,
B25B0909,003,14-11-1989,320,324,-232,,,,,,
B25B0909,003,28-11-1989,323,327,-235,,,,,,
B25B0909,003,14-12-1989,322,326,-234,,,,,,
B25B0909,003,28-12-1989,319,323,-231,,,,,,
B25B0909,003,14-01-1990,321,325,-233,,,,,,
B25B0909,003,28-01-1990,312,316,-224,,,,,,
B25B0909,003,14-02-1990,307,311,-219,,,,,,
B25B0909,003,28-02-1990,309,313,-221,,,,,,
B25B0909,003,14-03-1990,320,324,-232,,,,,,
B25B0909,003,28-03-1990,321,325,-233,,,,,,
B25B0909,003,15-05-1990,328,332,-240,,,,,,
B25B0909,003,29-05-1990,328,332,-240,,,,,,
B25B0909,003,14-06-1990,326,330,-238,,,,,,
B25B0909,003,28-06-1990,327,331,-239,,,,,,
B25B0909,003,12-07-1990,327,331,-239,,,,,,
B25B0909,003,26-07-1990,328,332,-240,,,,,,
B25B0909,003,29-08-1990,331,335,-243,,,,,,
B25B0909,003,18-09-1990,324,328,-236,,,,,,
B25B0909,003,28-09-1990,322,326,-234,,,,,,
B25B0909,003,15-10-1990,321,325,-233,,,,,,
B25B0909,003,18-10-1990,321,325,-233,,,,,,
B25B0909,003,29-10-1990,314,318,-226,,,,,,
B25B0909,003,15-11-1990,317,321,-229,,,,,,
B25B0909,003,29-11-1990,307,323,-231,,,,,,
B25B0909,003,13-12-1990,307,323,-231,,,,,,
B25B0909,003,16-01-1991,305,321,-229,,,,,,
B25B0909,003,23-01-1991,306,322,-230,,,,,,
B25B0909,003,27-02-1991,319,335,-243,,,,,,
B25B0909,003,15-03-1991,311,327,-235,,,,,,
B25B0909,003,26-03-1991,311,327,-235,,,,,,
B25B0909,003,12-04-1991,311,327,-235,,,,,,
B25B0909,003,26-04-1991,310,326,-234,,,,,,
B25B0909,003,14-05-1991,314,330,-238,,,,,,
B25B0909,003,28-05-1991,313,329,-237,,,,,,
B25B0909,003,28-06-1991,310,326,-234,,,,,,
B25B0909,003,16-07-1991,311,327,-235,,,,,,
B25B0909,003,29-07-1991,312,328,-236,,,,,,
B25B0909,003,13-08-1991,318,334,-242,,,,,,
B25B0909,003,17-09-1991,316,332,-240,,,,,,
B25B0909,003,27-09-1991,307,323,-231,,,,,,
B25B0909,003,15-10-1991,307,323,-231,,,,,,
B25B0909,003,28-10-1991,308,324,-232,,,,,,
B25B0909,003,13-11-1991,300,316,-224,,,,,,
B25B0909,003,26-11-1991,302,318,-226,,,,,,
B25B0909,003,12-12-1991,308,324,-232,,,,,,
B25B0909,003,14-01-1992,301,317,-225,,,,,,
B25B0909,003,18-02-1992,311,327,-235,,,,,,
B25B0909,003,13-03-1992,314,330,-238,,,,,,
B25B0909,003,26-03-1992,303,319,-227,,,,,,
B25B0909,003,13-04-1992,310,326,-234,,,,,,
B25B0909,003,28-04-1992,307,323,-231,,,,,,
B25B0909,003,29-06-1992,311,327,-235,,,,,,
B25B0909,003,13-07-1992,312,328,-236,,,,,,
B25B0909,003,28-07-1992,316,332,-240,,,,,,
B25B0909,003,12-08-1992,312,328,-236,,,,,,
B25B0909,003,15-09-1992,305,321,-229,,,,,,
B25B0909,003,30-09-1992,330,323,-231,,,,,,
B25B0909,003,13-10-1992,335,328,-236,,,,,,
B25B0909,003,28-10-1992,321,314,-222,,,,,,
B25B0909,003,13-11-1992,321,314,-222,,,,,,
B25B0909,003,27-11-1992,320,313,-221,,,,,,
B25B0909,003,17-12-1992,320,313,-221,,,,,,
B25B0909,003,14-01-1993,316,309,-217,,,,,,
B25B0909,003,16-02-1993,325,318,-226,,,,,,
B25B0909,003,26-02-1993,325,318,-226,,,,,,
B25B0909,003,18-03-1993,331,324,-232,,,,,,
B25B0909,003,26-03-1993,355,348,-256,,,,,,
B25B0909,003,14-04-1993,329,322,-230,,,,,,
B25B0909,003,25-04-1993,330,323,-231,,,,,,
B25B0909,003,13-05-1993,331,324,-232,,,,,,
B25B0909,003,26-05-1993,333,326,-234,,,,,,
B25B0909,003,29-06-1993,347,340,-248,,,,,,
B25B0909,003,15-07-1993,342,335,-243,,,,,,
B25B0909,003,28-07-1993,341,334,-242,,,,,,
B25B0909,003,12-08-1993,342,335,-243,,,,,,
B25B0909,003,25-08-1993,331,324,-232,,,,,,
B25B0909,003,14-09-1993,336,329,-237,,,,,,
