Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,08-06-2017,,,,,,,,
Gegevens beschikbaar:,06-03-1974,tot:,08-12-2015,,,,,,,,
Datum: ,08-06-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B25C0322,001,25CP0322,100771,486329,570,06-03-1974,06-03-1974,08-12-2015,582,12,-2500,-2600


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B25C0322,001,06-03-1974,635,623,-53,,,,,,
B25C0322,001,05-06-1974,654,642,-72,,,,,,
B25C0322,001,11-09-1974,650,638,-68,,,,,,
B25C0322,001,04-12-1974,627,615,-45,,,,,,
B25C0322,001,23-04-1975,624,612,-42,,,,,,
B25C0322,001,28-08-1975,684,672,-102,,,,,,
B25C0322,001,15-10-1975,653,641,-71,,,,,,
B25C0322,001,17-12-1975,622,610,-40,,,,,,
B25C0322,001,20-04-1976,633,621,-51,,,,,,
B25C0322,001,27-08-1976,737,725,-155,,,,,,
B25C0322,001,13-10-1976,706,694,-124,,,,,,
B25C0322,001,15-12-1976,688,676,-106,,,,,,
B25C0322,001,27-04-1977,628,616,-46,,,,,,
B25C0322,001,31-08-1977,647,635,-65,,,,,,
B25C0322,001,12-10-1977,654,642,-72,,,,,,
B25C0322,001,14-12-1977,620,608,-38,,,,,,
B25C0322,001,26-04-1978,623,611,-41,,,,,,
B25C0322,001,11-10-1978,629,617,-47,,,,,,
B25C0322,001,13-12-1978,622,610,-40,,,,,,
B25C0322,001,25-04-1979,612,600,-30,,,,,,
B25C0322,001,29-08-1979,619,607,-37,,,,,,
B25C0322,001,17-10-1979,619,607,-37,,,,,,
B25C0322,001,12-12-1979,611,599,-29,,,,,,
B25C0322,001,23-04-1980,613,601,-31,,,,,,
B25C0322,001,27-08-1980,631,619,-49,,,,,,
B25C0322,001,15-10-1980,623,611,-41,,,,,,
B25C0322,001,10-12-1980,616,604,-34,,,,,,
B25C0322,001,22-04-1981,610,598,-28,,,,,,
B25C0322,001,26-08-1981,626,614,-44,,,,,,
B25C0322,001,14-10-1981,611,599,-29,,,,,,
B25C0322,001,28-04-1982,594,582,-12,,,,,,
B25C0322,001,25-08-1982,626,614,-44,,,,,,
B25C0322,001,13-10-1982,602,590,-20,,,,,,
B25C0322,001,15-12-1982,601,589,-19,,,,,,
B25C0322,001,27-04-1983,584,572,-2,,,,,,
B25C0322,001,31-08-1983,633,621,-51,,,,,,
B25C0322,001,12-10-1983,603,591,-21,,,,,,
B25C0322,001,14-12-1983,593,581,-11,,,,,,
B25C0322,001,25-04-1984,610,598,-28,,,,,,
B25C0322,001,29-08-1984,635,623,-53,,,,,,
B25C0322,001,17-10-1984,610,598,-28,,,,,,
B25C0322,001,12-12-1984,611,599,-29,,,,,,
B25C0322,001,25-04-1985,643,631,-61,,,,,,
B25C0322,001,28-08-1985,615,603,-33,,,,,,
B25C0322,001,16-10-1985,619,607,-37,,,,,,
B25C0322,001,11-12-1985,661,649,-79,,,,,,
B25C0322,001,23-04-1986,627,615,-45,,,,,,
B25C0322,001,27-08-1986,631,619,-49,,,,,,
B25C0322,001,14-10-1986,654,642,-72,,,,,,
B25C0322,001,17-12-1986,641,629,-59,,,,,,
B25C0322,001,29-04-1987,582,570,0,,,,,,
B25C0322,001,26-08-1987,593,581,-11,,,,,,
B25C0322,001,14-10-1987,623,611,-41,,,,,,
B25C0322,001,16-12-1987,642,630,-60,,,,,,
B25C0322,001,27-04-1988,608,596,-26,,,,,,
B25C0322,001,02-09-1988,620,608,-38,,,,,,
B25C0322,001,12-10-1988,668,656,-86,,,,,,
B25C0322,001,14-12-1988,610,598,-28,,,,,,
B25C0322,001,26-04-1989,609,597,-27,,,,,,
B25C0322,001,25-04-1991,654,642,-72,,,,,,
B25C0322,001,15-10-1991,631,619,-49,,,,,,
B25C0322,001,25-08-1993,628,616,-46,,,,,,
B25C0322,001,23-08-1994,622,610,-40,,,,,,
B25C0322,001,11-10-1994,610,598,-28,,,,,,
B25C0322,001,30-08-1995,618,606,-36,,,,,,
B25C0322,001,13-12-1995,620,608,-38,,,,,,
B25C0322,001,24-04-1996,638,626,-56,,,,,,
B25C0322,001,28-08-1996,627,615,-45,,,,,,
B25C0322,001,16-10-1996,621,609,-39,,,,,,
B25C0322,001,11-12-1996,636,624,-54,,,,,,
B25C0322,001,22-04-1997,620,608,-38,,,,,,
B25C0322,001,27-08-1997,632,620,-50,,,,,,
B25C0322,001,15-10-1997,647,635,-65,,,,,,
B25C0322,001,10-12-1997,661,649,-79,,,,,,
B25C0322,001,29-04-1998,587,575,-5,,,,,,
B25C0322,001,26-08-1998,590,578,-8,,,,,,
B25C0322,001,14-10-1998,589,577,-7,,,,,,
B25C0322,001,16-12-1998,581,569,1,,,,,,
B25C0322,001,28-04-1999,581,569,1,,,,,,
B25C0322,001,20-08-1999,585,573,-3,,,,,,
B25C0322,001,13-10-1999,579,567,3,,,,,,
B25C0322,001,14-12-1999,555,543,27,,,,,,
B25C0322,001,26-04-2000,570,558,12,,,,,,
B25C0322,001,29-08-2000,599,587,-17,,,,,,
B25C0322,001,11-10-2000,582,570,0,,,,,,
B25C0322,001,12-12-2000,560,548,22,,,,,,
B25C0322,001,25-04-2001,579,567,3,,,,,,
B25C0322,001,29-08-2001,590,578,-8,,,,,,
B25C0322,001,17-10-2001,576,564,6,,,,,,
B25C0322,001,12-12-2001,590,578,-8,,,,,,
B25C0322,001,24-04-2002,594,582,-12,,,,,,
B25C0322,001,28-08-2002,568,556,14,,,,,,
B25C0322,001,16-10-2002,571,559,11,,,,,,
B25C0322,001,17-12-2002,568,556,14,,,,,,
B25C0322,001,22-04-2003,577,565,5,,,,,,
B25C0322,001,26-08-2003,601,589,-19,,,,,,
B25C0322,001,14-10-2003,576,564,6,,,,,,
B25C0322,001,18-12-2003,566,554,16,,,,,,
B25C0322,001,28-04-2004,572,560,10,,,,,,
B25C0322,001,25-08-2004,578,566,4,,,,,,
B25C0322,001,13-10-2004,567,555,15,,,,,,
B25C0322,001,14-12-2004,564,552,18,,,,,,
B25C0322,001,28-04-2005,567,555,15,,,,,,
B25C0322,001,12-10-2005,571,559,11,,,,,,
B25C0322,001,15-12-2005,556,544,26,,,,,,
B25C0322,001,27-04-2006,570,558,12,,,,,,
