Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,10-06-2017,,,,,,,,
Gegevens beschikbaar:,28-05-1973,tot:,14-04-1980,,,,,,,,
Datum: ,10-06-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B25D0610,001,25DL0003,112270,485070,,,28-05-1973,14-05-1980,,0,,


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B25D0610,001,28-05-1973,114,114,,,,,,,
B25D0610,001,28-06-1973,114,114,,,,,,,
B25D0610,001,13-07-1973,113,113,,,,,,,
B25D0610,001,28-07-1973,124,124,,,,,,,
B25D0610,001,14-08-1973,120,120,,,,,,,
B25D0610,001,28-08-1973,124,124,,,,,,,
B25D0610,001,14-09-1973,127,127,,,,,,,
B25D0610,001,28-09-1973,106,106,,,,,,,
B25D0610,001,14-10-1973,86,86,,,,,,,
B25D0610,001,28-10-1973,87,87,,,,,,,
B25D0610,001,14-11-1973,72,72,,,,,,,
B25D0610,001,28-11-1973,80,80,,,,,,,
B25D0610,001,02-01-1974,84,84,,,,,,,
B25D0610,001,14-01-1974,91,91,,,,,,,
B25D0610,001,28-01-1974,102,102,,,,,,,
B25D0610,001,14-02-1974,99,99,,,,,,,
B25D0610,001,28-02-1974,109,109,,,,,,,
B25D0610,001,14-03-1974,105,105,,,,,,,
B25D0610,001,28-03-1974,107,107,,,,,,,
B25D0610,001,14-04-1974,121,121,,,,,,,
B25D0610,001,28-04-1974,130,130,,,,,,,
B25D0610,001,14-05-1974,127,127,,,,,,,
B25D0610,001,28-05-1974,120,120,,,,,,,
B25D0610,001,14-06-1974,124,124,,,,,,,
B25D0610,001,28-06-1974,126,126,,,,,,,
B25D0610,001,14-07-1974,120,120,,,,,,,
B25D0610,001,28-07-1974,121,121,,,,,,,
B25D0610,001,14-08-1974,118,118,,,,,,,
B25D0610,001,28-08-1974,121,121,,,,,,,
B25D0610,001,13-09-1974,112,112,,,,,,,
B25D0610,001,27-09-1974,104,104,,,,,,,
B25D0610,001,14-10-1974,94,94,,,,,,,
B25D0610,001,28-10-1974,83,83,,,,,,,
B25D0610,001,14-11-1974,88,88,,,,,,,
B25D0610,001,28-11-1974,83,83,,,,,,,
B25D0610,001,13-12-1974,76,76,,,,,,,
B25D0610,001,28-12-1974,72,72,,,,,,,
B25D0610,001,14-01-1975,92,92,,,,,,,
B25D0610,001,28-01-1975,89,89,,,,,,,
B25D0610,001,14-02-1975,102,102,,,,,,,
B25D0610,001,28-02-1975,98,98,,,,,,,
B25D0610,001,14-03-1975,93,93,,,,,,,
B25D0610,001,28-03-1975,73,73,,,,,,,
B25D0610,001,14-04-1975,87,87,,,,,,,
B25D0610,001,28-04-1975,100,100,,,,,,,
B25D0610,001,14-05-1975,108,108,,,,,,,
B25D0610,001,28-05-1975,114,114,,,,,,,
B25D0610,001,14-06-1975,123,123,,,,,,,
B25D0610,001,27-06-1975,124,124,,,,,,,
B25D0610,001,14-07-1975,117,117,,,,,,,
B25D0610,001,28-07-1975,126,126,,,,,,,
B25D0610,001,14-08-1975,134,134,,,,,,,
B25D0610,001,26-08-1975,140,140,,,,,,,
B25D0610,001,15-09-1975,135,135,,,,,,,
B25D0610,001,28-09-1975,128,128,,,,,,,
B25D0610,001,14-10-1975,131,131,,,,,,,
B25D0610,001,28-10-1975,153,153,,,,,,,
