Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,10-06-2017,,,,,,,,
Gegevens beschikbaar:,28-04-1964,tot:,28-04-1970,,,,,,,,
Datum: ,10-06-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B25E0947,001,25EL0005,125340,493300,,,28-04-1964,28-04-1971,,-8,,


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B25E0947,001,28-04-1964,22,30,,,,,,,
B25E0947,001,28-08-1964,18,26,,,,,,,
B25E0947,001,14-12-1964,0,8,,,,,,,
B25E0947,001,28-04-1965,2,10,,,,,,,
B25E0947,001,27-08-1965,3,11,,,,,,,
B25E0947,001,14-10-1965,16,24,,,,,,,
B25E0947,001,28-04-1966,2,10,,,,,,,
B25E0947,001,29-08-1966,26,34,,,,,,,
B25E0947,001,14-10-1966,15,23,,,,,,,
B25E0947,001,14-12-1966,0,8,,,,,,,
B25E0947,001,28-04-1967,10,18,,,,,,,
B25E0947,001,28-08-1967,23,31,,,,,,,
B25E0947,001,13-10-1967,10,18,,,,,,,
B25E0947,001,14-12-1967,3,11,,,,,,,
B25E0947,001,29-04-1968,19,27,,,,,,,
B25E0947,001,28-08-1968,13,21,,,,,,,
B25E0947,001,14-10-1968,0,8,,,,,,,
B25E0947,001,13-12-1968,3,11,,,,,,,
B25E0947,001,28-04-1969,15,23,,,,,,,
B25E0947,001,28-08-1969,9,17,,,,,,,
B25E0947,001,14-10-1969,28,36,,,,,,,
B25E0947,001,15-12-1969,26,34,,,,,,,
B25E0947,001,28-04-1970,5,13,,,,,,,
