Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,10-06-2017,,,,,,,,
Gegevens beschikbaar:,01-10-1957,tot:,18-05-2016,,,,,,,,
Datum: ,10-06-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B25F0055,007,25FP0055,133466,494497,126,01-01-1957,21-06-1957,01-03-1961,67,-59,-26700,-26800
B25F0055,007,25FP0055,133466,494497,126,01-01-1957,01-03-1961,18-05-2016,64,-62,-26700,-26800


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B25F0055,007,01-10-1957,424,483,-357,,,,,,
B25F0055,007,22-10-1957,434,493,-367,,,,,,
B25F0055,007,06-11-1957,423,482,-356,,,,,,
B25F0055,007,18-11-1957,422,481,-355,,,,,,
B25F0055,007,28-11-1957,420,479,-353,,,,,,
B25F0055,007,10-01-1958,436,495,-369,,,,,,
B25F0055,007,29-01-1958,440,499,-373,,,,,,
B25F0055,007,11-02-1958,441,500,-374,,,,,,
B25F0055,007,21-02-1958,439,498,-372,,,,,,
B25F0055,007,18-03-1958,430,489,-363,,,,,,
B25F0055,007,28-03-1958,430,489,-363,,,,,,
B25F0055,007,10-04-1958,428,487,-361,,,,,,
B25F0055,007,23-04-1958,430,489,-363,,,,,,
B25F0055,007,12-05-1958,425,484,-358,,,,,,
B25F0055,007,30-05-1958,429,488,-362,,,,,,
B25F0055,007,06-06-1958,430,489,-363,,,,,,
B25F0055,007,18-06-1958,429,488,-362,,,,,,
B25F0055,007,25-06-1958,428,487,-361,,,,,,
B25F0055,007,07-07-1958,423,482,-356,,,,,,
B25F0055,007,24-07-1958,421,480,-354,,,,,,
